"",BBK01.OEHL06L,BBK01.OEHL06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:02,
2002-01,3.462,
2002-04,3.604,
2002-07,3.630,
2002-10,3.655,
2003-01,3.583,
2003-04,3.505,
2003-07,3.480,
2003-10,3.654,
2004-01,3.694,
2004-04,3.726,
2004-07,3.740,
2004-10,3.703,
2005-01,3.547,
2005-04,3.393,
2005-07,3.309,
2005-10,3.407,
2006-01,3.510,
2006-04,3.614,
2006-07,3.788,
2006-10,4.083,
2007-01,4.526,
2007-04,5.151,
2007-07,5.898,
2007-10,6.800,
2008-01,7.256,
2008-04,7.833,
2008-07,8.051,
2008-10,8.391,
2009-01,7.356,
2009-04,6.013,
2009-07,5.183,
2009-10,4.613,
2010-01,4.250,
2010-04,4.056,
2010-07,3.961,
2010-10,4.088,
2011-01,4.170,
2011-04,4.347,
2011-07,4.449,
2011-10,4.639,
2012-01,4.595,
2012-04,4.399,
2012-07,4.135,
2012-10,3.882,
2013-01,3.431,
2013-04,3.165,
2013-07,2.952,
2013-10,2.841,
2014-01,2.714,
2014-04,2.586,
2014-07,2.464,
