"",BBFB1.Q.N.DE.D09.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:02,
1991-01,170.111,
1991-04,131.962,
1991-07,147.069,
1991-10,153.568,
1992-01,118.717,
1992-04,138.282,
1992-07,160.584,
1992-10,158.312,
1993-01,256.820,
1993-04,273.688,
1993-07,208.820,
1993-10,-12.495,
1994-01,75.559,
1994-04,113.779,
1994-07,45.287,
1994-10,79.042,
1995-01,-260.140,
1995-04,-142.938,
1995-07,-141.842,
1995-10,-288.066,
1996-01,-160.161,
1996-04,-181.523,
1996-07,-184.436,
1996-10,-157.727,
1997-01,-196.724,
1997-04,-186.072,
1997-07,-230.657,
1997-10,-201.565,
1998-01,-272.249,
1998-04,-411.053,
1998-07,-422.598,
1998-10,-349.298,
1999-01,-379.088,
1999-04,-117.753,
1999-07,-429.575,
1999-10,-544.213,
2000-01,336.335,
2000-04,360.239,
2000-07,473.745,
2000-10,505.278,
2001-01,333.924,
2001-04,389.795,
2001-07,397.796,
2001-10,432.218,
2002-01,379.465,
2002-04,406.521,
2002-07,379.891,
2002-10,461.648,
2003-01,335.796,
2003-04,383.999,
2003-07,346.553,
2003-10,384.648,
2004-01,330.544,
2004-04,327.868,
2004-07,287.285,
2004-10,421.221,
2005-01,300.062,
2005-04,391.740,
2005-07,264.616,
2005-10,468.230,
2006-01,357.006,
2006-04,452.180,
2006-07,430.940,
2006-10,333.066,
2007-01,416.665,
2007-04,381.208,
2007-07,383.015,
2007-10,447.080,
2008-01,481.782,
2008-04,287.121,
2008-07,646.008,
2008-10,433.116,
2009-01,277.364,
2009-04,234.542,
2009-07,248.129,
2009-10,257.481,
2010-01,46.027,
2010-04,60.306,
2010-07,85.592,
2010-10,118.279,
2011-01,192.656,
2011-04,271.047,
2011-07,95.186,
2011-10,177.453,
2012-01,674.082,
2012-04,740.398,
2012-07,1147.646,
2012-10,1152.521,
2013-01,852.544,
2013-04,904.943,
2013-07,1066.303,
2013-10,921.306,
2014-01,784.593,
2014-04,917.611,
2014-07,1105.212,
