"",BBFN1.M.DE.N.1.L.U3.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U3.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:46,
1995-01,5.842,
1995-02,5.785,
1995-03,6.054,
1995-04,6.021,
1995-05,6.085,
1995-06,6.217,
1995-07,6.043,
1995-08,6.129,
1995-09,6.466,
1995-10,6.467,
1995-11,6.436,
1995-12,5.906,
1996-01,5.861,
1996-02,5.818,
1996-03,6.149,
1996-04,5.819,
1996-05,5.913,
1996-06,5.986,
1996-07,5.922,
1996-08,5.953,
1996-09,6.345,
1996-10,6.379,
1996-11,6.600,
1996-12,6.819,
1997-01,6.459,
1997-02,6.612,
1997-03,6.816,
1997-04,7.020,
1997-05,7.014,
1997-06,7.070,
1997-07,6.945,
1997-08,6.839,
1997-09,7.391,
1997-10,7.358,
1997-11,8.317,
1997-12,7.364,
1998-01,7.310,
1998-02,7.744,
1998-03,8.126,
1998-04,7.993,
1998-05,8.205,
1998-06,8.293,
1998-07,7.979,
1998-08,7.730,
1998-09,8.946,
1998-10,8.300,
1998-11,8.084,
1998-12,8.057,
1999-01,7.716,
1999-02,7.772,
1999-03,8.218,
1999-04,8.032,
1999-05,7.814,
1999-06,8.311,
1999-07,8.295,
1999-08,8.263,
1999-09,8.532,
1999-10,9.017,
1999-11,8.886,
1999-12,9.662,
2000-01,9.301,
2000-02,9.793,
2000-03,9.904,
2000-04,9.846,
2000-05,9.870,
2000-06,10.395,
2000-07,10.074,
2000-08,10.539,
2000-09,10.991,
2000-10,10.794,
2000-11,10.943,
2000-12,11.456,
2001-01,10.085,
2001-02,10.118,
2001-03,10.186,
2001-04,9.811,
2001-05,10.103,
2001-06,10.554,
2001-07,10.342,
2001-08,10.371,
2001-09,10.677,
2001-10,11.199,
2001-11,10.540,
2001-12,11.634,
2002-01,10.020,
2002-02,10.065,
2002-03,10.249,
2002-04,9.989,
2002-05,9.854,
2002-06,10.337,
2002-07,9.885,
2002-08,9.968,
2002-09,10.573,
2002-10,11.151,
2002-11,11.061,
2002-12,11.634,
2003-01,10.630,
2003-02,11.116,
2003-03,11.589,
2003-04,11.488,
2003-05,10.160,
2003-06,10.845,
2003-07,10.532,
2003-08,10.029,
2003-09,10.663,
2003-10,10.704,
2003-11,10.539,
2003-12,10.345,
2004-01,10.146,
2004-02,9.930,
2004-03,10.609,
2004-04,9.640,
2004-05,14.856,
2004-06,15.433,
2004-07,15.169,
2004-08,15.067,
2004-09,15.947,
2004-10,16.069,
2004-11,16.609,
2004-12,15.741,
2005-01,14.846,
2005-02,15.329,
2005-03,15.996,
2005-04,16.241,
2005-05,16.517,
2005-06,17.248,
2005-07,17.461,
2005-08,18.103,
2005-09,18.936,
2005-10,18.293,
2005-11,19.247,
2005-12,19.834,
2006-01,19.554,
2006-02,20.047,
2006-03,21.105,
2006-04,20.573,
2006-05,20.703,
2006-06,21.365,
2006-07,21.199,
2006-08,20.310,
2006-09,20.683,
2006-10,21.314,
2006-11,21.395,
2006-12,21.219,
2007-01,21.184,
2007-02,21.404,
2007-03,23.143,
2007-04,22.494,
2007-05,22.129,
2007-06,22.265,
2007-07,22.128,
2007-08,21.387,
2007-09,23.621,
2007-10,23.916,
2007-11,23.979,
2007-12,23.852,
2008-01,23.295,
2008-02,24.336,
2008-03,24.560,
2008-04,25.697,
2008-05,26.594,
2008-06,26.016,
2008-07,25.952,
2008-08,25.528,
2008-09,26.322,
2008-10,25.827,
2008-11,25.442,
2008-12,24.220,
2009-01,21.625,
2009-02,22.135,
2009-03,25.141,
2009-04,20.481,
2009-05,22.009,
2009-06,27.817,
2009-07,27.721,
2009-08,24.388,
2009-09,26.248,
2009-10,27.326,
2009-11,28.476,
2009-12,27.991,
2010-01,20.876,
2010-02,20.729,
2010-03,22.690,
2010-04,22.048,
2010-05,21.979,
2010-06,23.262,
2010-07,21.934,
2010-08,20.876,
2010-09,23.611,
2010-10,23.060,
2010-11,22.546,
2010-12,23.858,
2011-01,24.518,
2011-02,25.302,
2011-03,25.686,
2011-04,25.552,
2011-05,24.654,
2011-06,25.452,
2011-07,24.616,
2011-08,23.377,
2011-09,25.756,
2011-10,25.498,
2011-11,26.560,
2011-12,26.474,
2012-01,24.953,
2012-02,26.256,
2012-03,26.235,
2012-04,25.953,
2012-05,25.836,
2012-06,26.193,
2012-07,25.508,
2012-08,23.828,
2012-09,26.066,
2012-10,26.393,
2012-11,26.633,
2012-12,26.177,
2013-01,24.933,
2013-02,25.139,
2013-03,26.805,
2013-04,25.168,
2013-05,25.302,
2013-06,24.510,
2013-07,25.010,
2013-08,24.609,
2013-09,27.203,
2013-10,26.782,
2013-11,27.037,
2013-12,26.077,
2014-01,25.656,
2014-02,26.554,
2014-03,27.408,
2014-04,25.998,
2014-05,25.948,
2014-06,26.580,
2014-07,26.424,
2014-08,25.528,
2014-09,28.378,
2014-10,27.583,
2014-11,28.298,
2014-12,28.284,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and December 2010, including Estonia.",
