"",BBK01.CEHDQ3,BBK01.CEHDQ3_FLAGS
"",Currency and transferable deposits (consolidated) debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:34,
1991-01,-7.8,
1991-04,1.4,
1991-07,0.6,
1991-10,-4.6,
1992-01,2.4,
1992-04,3.1,
1992-07,35.1,
1992-10,-30.5,
1993-01,7.7,
1993-04,11.8,
1993-07,-0.9,
1993-10,-7.6,
1994-01,0.7,
1994-04,5.3,
1994-07,-6.4,
1994-10,-1.7,
1995-01,4.3,
1995-04,-1.4,
1995-07,4.5,
1995-10,-2.7,
1996-01,9.0,
1996-04,-1.1,
1996-07,6.8,
1996-10,-14.8,
1997-01,5.4,
1997-04,8.5,
1997-07,-7.8,
1997-10,-0.5,
1998-01,17.8,
1998-04,4.2,
1998-07,10.9,
1998-10,-34.2,
1999-01,46.8,
1999-04,-6.8,
1999-07,-13.8,
1999-10,-24.9,
2000-01,21.6,
2000-04,4.9,
2000-07,-11.0,
2000-10,-0.3,
2001-01,28.3,
2001-04,18.7,
2001-07,0.1,
2001-10,-21.8,
2002-01,-7.3,
2002-04,29.3,
2002-07,3.6,
2002-10,5.0,
2003-01,19.0,
2003-04,20.6,
2003-07,2.2,
2003-10,-28.9,
2004-01,15.6,
2004-04,-2.1,
2004-07,17.6,
2004-10,-52.9,
2005-01,59.7,
2005-04,21.1,
2005-07,-21.0,
2005-10,-53.0,
2006-01,56.1,
2006-04,-6.4,
2006-07,-10.9,
2006-10,11.4,
2007-01,22.2,
2007-04,22.6,
2007-07,3.5,
2007-10,-47.6,
2008-01,49.2,
2008-04,-7.6,
2008-07,8.5,
2008-10,2.7,
2009-01,-10.5,
2009-04,-1.5,
2009-07,-2.0,
2009-10,-15.8,
2010-01,24.2,
2010-04,16.0,
2010-07,11.2,
2010-10,-12.9,
2011-01,13.9,
2011-04,15.9,
2011-07,25.7,
2011-10,-57.8,
2012-01,41.4,
2012-04,11.0,
2012-07,35.5,
2012-10,-40.9,
2013-01,18.6,
2013-04,15.1,
2013-07,-15.1,
2013-10,-9.1,
2014-01,12.2,
