"",BBK01.OEYB07T,BBK01.OEYB07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:41,
2002-01,0.080,
2002-04,0.056,
2002-07,0.055,
2002-10,0.056,
2003-01,0.049,
2003-04,0.049,
2003-07,0.051,
2003-10,0.052,
2004-01,0.075,
2004-04,0.072,
2004-07,0.072,
2004-10,0.171,
2005-01,0.172,
2005-04,0.167,
2005-07,0.165,
2005-10,0.168,
2006-01,0.171,
2006-04,0.166,
2006-07,0.167,
2006-10,0.169,
2007-01,0.183,
2007-04,0.150,
2007-07,0.180,
2007-10,0.191,
2008-01,0.217,
2008-04,0.217,
2008-07,0.218,
2008-10,0.251,
2009-01,0.214,
2009-04,0.127,
2009-07,0.124,
2009-10,0.119,
2010-01,0.104,
2010-04,0.105,
2010-07,0.159,
2010-10,0.144,
2011-01,0.167,
2011-04,0.165,
2011-07,0.180,
2011-10,0.186,
2012-01,0.221,
2012-04,0.280,
2012-07,0.267,
2012-10,0.213,
2013-01,0.217,
2013-04,0.273,
2013-07,0.266,
2013-10,0.251,
2014-01,0.229,
2014-04,0.260,
2014-07,0.222,
