"",BBK01.OELO01O,BBK01.OELO01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:38,
2002-01,12.600,
2002-04,12.497,
2002-07,12.385,
2002-10,12.257,
2003-01,12.570,
2003-04,12.544,
2003-07,12.464,
2003-10,12.354,
2004-01,12.579,
2004-04,12.543,
2004-07,12.505,
2004-10,12.419,
2005-01,12.520,
2005-04,12.413,
2005-07,12.295,
2005-10,12.173,
2006-01,12.251,
2006-04,12.122,
2006-07,12.100,
2006-10,11.976,
2007-01,11.919,
2007-04,11.499,
2007-07,11.178,
2007-10,10.596,
2008-01,10.492,
2008-04,10.224,
2008-07,9.850,
2008-10,9.314,
2009-01,9.071,
2009-04,9.087,
2009-07,9.324,
2009-10,9.714,
2010-01,10.279,
2010-04,10.752,
2010-07,10.875,
2010-10,10.925,
2011-01,10.996,
2011-04,10.959,
2011-07,10.968,
2011-10,10.909,
2012-01,11.067,
2012-04,11.036,
2012-07,10.982,
2012-10,10.879,
2013-01,10.795,
2013-04,10.654,
2013-07,10.568,
2013-10,10.480,
2014-01,10.750,
2014-04,10.728,
2014-07,10.683,
