"",BBK01.OEAC04R,BBK01.OEAC04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:54,
2002-01,0.838,
2002-04,0.838,
2002-07,0.829,
2002-10,0.800,
2003-01,0.784,
2003-04,0.753,
2003-07,0.739,
2003-10,0.672,
2004-01,0.658,
2004-04,0.645,
2004-07,0.622,
2004-10,0.601,
2005-01,0.580,
2005-04,0.569,
2005-07,0.550,
2005-10,0.529,
2006-01,0.527,
2006-04,0.524,
2006-07,0.505,
2006-10,0.501,
2007-01,0.496,
2007-04,0.491,
2007-07,0.469,
2007-10,0.458,
2008-01,0.456,
2008-04,0.443,
2008-07,0.435,
2008-10,0.421,
2009-01,0.462,
2009-04,0.477,
2009-07,0.469,
2009-10,0.436,
2010-01,0.457,
2010-04,0.448,
2010-07,0.438,
2010-10,0.424,
2011-01,0.435,
2011-04,0.444,
2011-07,0.436,
2011-10,0.433,
2012-01,0.439,
2012-04,0.456,
2012-07,0.441,
2012-10,0.444,
2013-01,0.457,
2013-04,0.460,
2013-07,0.459,
2013-10,0.464,
2014-01,0.469,
2014-04,0.475,
2014-07,0.466,
