"",BBK01.OEAF22T,BBK01.OEAF22T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:10,
2002-01,0.393,
2002-04,0.388,
2002-07,0.382,
2002-10,0.405,
2003-01,0.396,
2003-04,0.409,
2003-07,0.401,
2003-10,0.402,
2004-01,0.391,
2004-04,0.390,
2004-07,0.391,
2004-10,0.381,
2005-01,0.388,
2005-04,0.379,
2005-07,0.376,
2005-10,0.367,
2006-01,0.360,
2006-04,0.368,
2006-07,0.370,
2006-10,0.379,
2007-01,0.385,
2007-04,0.384,
2007-07,0.384,
2007-10,0.364,
2008-01,0.358,
2008-04,0.354,
2008-07,0.353,
2008-10,0.342,
2009-01,0.340,
2009-04,0.340,
2009-07,0.327,
2009-10,0.325,
2010-01,0.318,
2010-04,0.338,
2010-07,0.341,
2010-10,0.335,
2011-01,0.351,
2011-04,0.356,
2011-07,0.360,
2011-10,0.355,
2012-01,0.352,
2012-04,0.355,
2012-07,0.387,
2012-10,0.382,
2013-01,0.384,
2013-04,0.388,
2013-07,0.394,
2013-10,0.391,
2014-01,0.389,
2014-04,0.393,
2014-07,0.399,
