"",BBK01.OEYB03O,BBK01.OEYB03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:39,
2002-01,5.954,
2002-04,5.799,
2002-07,5.831,
2002-10,5.874,
2003-01,5.704,
2003-04,5.537,
2003-07,5.648,
2003-10,5.888,
2004-01,5.607,
2004-04,5.183,
2004-07,4.965,
2004-10,4.773,
2005-01,4.713,
2005-04,4.792,
2005-07,4.508,
2005-10,4.484,
2006-01,4.760,
2006-04,5.025,
2006-07,4.920,
2006-10,5.020,
2007-01,5.156,
2007-04,5.587,
2007-07,6.355,
2007-10,6.699,
2008-01,6.879,
2008-04,7.097,
2008-07,6.385,
2008-10,5.807,
2009-01,5.991,
2009-04,6.325,
2009-07,6.862,
2009-10,7.955,
2010-01,8.135,
2010-04,8.385,
2010-07,8.375,
2010-10,8.509,
2011-01,8.756,
2011-04,9.014,
2011-07,9.663,
2011-10,9.408,
2012-01,9.433,
2012-04,9.239,
2012-07,8.729,
2012-10,8.323,
2013-01,8.063,
2013-04,7.618,
2013-07,8.288,
2013-10,7.504,
2014-01,7.378,
2014-04,7.197,
2014-07,7.129,
