"",BBK01.OEAC53G,BBK01.OEAC53G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:18,
2002-01,2.528,
2002-04,2.548,
2002-07,2.644,
2002-10,2.616,
2003-01,2.862,
2003-04,2.844,
2003-07,2.989,
2003-10,2.960,
2004-01,3.068,
2004-04,2.925,
2004-07,3.156,
2004-10,3.168,
2005-01,3.259,
2005-04,3.430,
2005-07,3.671,
2005-10,3.696,
2006-01,3.731,
2006-04,3.721,
2006-07,3.798,
2006-10,4.014,
2007-01,4.121,
2007-04,4.085,
2007-07,4.043,
2007-10,4.034,
2008-01,3.497,
2008-04,3.425,
2008-07,4.062,
2008-10,4.537,
2009-01,4.848,
2009-04,7.302,
2009-07,7.125,
2009-10,6.810,
2010-01,7.675,
2010-04,7.401,
2010-07,7.476,
2010-10,7.348,
2011-01,7.192,
2011-04,6.638,
2011-07,6.635,
2011-10,6.807,
2012-01,6.729,
2012-04,6.841,
2012-07,7.019,
2012-10,7.078,
2013-01,6.517,
2013-04,6.461,
2013-07,5.511,
2013-10,5.720,
2014-01,5.880,
2014-04,5.600,
2014-07,6.042,
