"",BBK01.OEAD16Q,BBK01.OEAD16Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:18,
2002-01,0.194,
2002-04,0.194,
2002-07,0.199,
2002-10,0.201,
2003-01,0.249,
2003-04,0.222,
2003-07,0.283,
2003-10,0.282,
2004-01,0.256,
2004-04,0.158,
2004-07,0.177,
2004-10,0.142,
2005-01,0.155,
2005-04,0.175,
2005-07,0.171,
2005-10,0.173,
2006-01,0.149,
2006-04,0.156,
2006-07,0.333,
2006-10,0.135,
2007-01,0.145,
2007-04,0.169,
2007-07,0.164,
2007-10,0.176,
2008-01,0.163,
2008-04,0.165,
2008-07,0.172,
2008-10,0.169,
2009-01,0.199,
2009-04,0.184,
2009-07,0.155,
2009-10,0.080,
2010-01,0.140,
2010-04,0.125,
2010-07,0.230,
2010-10,0.160,
2011-01,0.106,
2011-04,0.104,
2011-07,0.087,
2011-10,0.158,
2012-01,0.166,
2012-04,0.159,
2012-07,0.163,
2012-10,0.172,
2013-01,0.188,
2013-04,0.170,
2013-07,0.168,
2013-10,0.149,
2014-01,0.155,
2014-04,0.137,
2014-07,0.158,
