"",BBK01.OEAC09V,BBK01.OEAC09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:32,
2002-01,16.794,
2002-04,16.929,
2002-07,16.885,
2002-10,17.088,
2003-01,16.661,
2003-04,16.425,
2003-07,16.321,
2003-10,16.388,
2004-01,16.034,
2004-04,16.107,
2004-07,16.106,
2004-10,15.960,
2005-01,15.620,
2005-04,15.621,
2005-07,15.666,
2005-10,15.525,
2006-01,15.430,
2006-04,15.521,
2006-07,15.287,
2006-10,14.945,
2007-01,14.540,
2007-04,14.193,
2007-07,14.099,
2007-10,14.417,
2008-01,14.002,
2008-04,13.466,
2008-07,13.332,
2008-10,13.176,
2009-01,12.663,
2009-04,14.836,
2009-07,14.884,
2009-10,16.723,
2010-01,15.385,
2010-04,15.214,
2010-07,13.337,
2010-10,13.330,
2011-01,13.704,
2011-04,13.673,
2011-07,14.150,
2011-10,14.171,
2012-01,14.201,
2012-04,15.181,
2012-07,15.229,
2012-10,15.071,
2013-01,15.058,
2013-04,15.118,
2013-07,15.195,
2013-10,15.377,
2014-01,15.489,
2014-04,15.404,
2014-07,15.579,
