"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.SE.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.SE.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Sweden / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:21,
2009-09,131,
2009-10,118,
2009-11,138,
2009-12,132,
2010-01,135,
2010-02,163,
2010-03,115,
2010-04,126,
2010-05,131,
2010-06,139,
2010-07,148,
2010-08,169,
2010-09,158,
2010-10,133,
2010-11,155,
2010-12,156,
2011-01,161,
2011-02,167,
2011-03,171,
2011-04,165,
2011-05,168,
2011-06,162,
2011-07,170,
2011-08,199,
2011-09,183,
2011-10,185,
2011-11,172,
2011-12,186,
2012-01,186,
2012-02,189,
2012-03,215,
2012-04,205,
2012-05,195,
2012-06,210,
2012-07,206,
2012-08,207,
2012-09,188,
2012-10,184,
2012-11,188,
2012-12,180,
2013-01,180,
2013-02,201,
2013-03,206,
2013-04,203,
2013-05,192,
2013-06,182,
2013-07,192,
2013-08,172,
2013-09,173,
2013-10,167,
2013-11,166,
2013-12,168,
2014-01,171,
2014-02,179,
2014-03,173,
2014-04,173,
2014-05,163,
2014-06,150,
2014-07,122,
2014-08,125,
2014-09,120,
2014-10,130,
2014-11,128,
