"",BBFB1.Q.N.DE.SG.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.SG.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:16,
1991-01,-87.272,
1991-04,-833.100,
1991-07,367.568,
1991-10,341.445,
1992-01,248.513,
1992-04,305.649,
1992-07,1002.137,
1992-10,305.684,
1993-01,876.193,
1993-04,-93.909,
1993-07,-72.649,
1993-10,640.396,
1994-01,-303.455,
1994-04,-662.095,
1994-07,903.682,
1994-10,-570.036,
1995-01,1410.771,
1995-04,361.894,
1995-07,393.363,
1995-10,1680.364,
1996-01,80.631,
1996-04,302.322,
1996-07,-1158.894,
1996-10,240.134,
1997-01,627.680,
1997-04,704.646,
1997-07,482.600,
1997-10,-1368.474,
1998-01,1180.560,
1998-04,-185.991,
1998-07,479.357,
1998-10,2044.675,
1999-01,-711.661,
1999-04,6881.353,
1999-07,1816.016,
1999-10,3839.215,
2000-01,-2579.383,
2000-04,-1839.099,
2000-07,2693.824,
2000-10,-1744.506,
2001-01,5248.498,
2001-04,3104.410,
2001-07,2006.900,
2001-10,-8722.663,
2002-01,5719.283,
2002-04,-3931.264,
2002-07,1345.803,
2002-10,-3263.486,
2003-01,1649.041,
2003-04,-760.313,
2003-07,-805.607,
2003-10,727.854,
2004-01,-1675.583,
2004-04,-370.882,
2004-07,-1321.464,
2004-10,1902.444,
2005-01,-1670.439,
2005-04,-830.776,
2005-07,831.951,
2005-10,-212.875,
2006-01,1467.373,
2006-04,-936.789,
2006-07,2321.577,
2006-10,2597.469,
2007-01,298.040,
2007-04,-746.346,
2007-07,1472.541,
2007-10,-1732.263,
2008-01,-845.056,
2008-04,916.290,
2008-07,659.535,
2008-10,-1868.051,
2009-01,1847.048,
2009-04,-2044.143,
2009-07,104.507,
2009-10,-877.922,
2010-01,3232.621,
2010-04,-29.680,
2010-07,-992.561,
2010-10,-658.751,
2011-01,-1775.874,
2011-04,-658.527,
2011-07,1620.720,
2011-10,-767.137,
2012-01,1882.490,
2012-04,178.207,
2012-07,-1328.745,
2012-10,2115.320,
2013-01,469.761,
2013-04,244.892,
2013-07,560.148,
2013-10,1314.915,
2014-01,824.588,Provisional value
2014-04,679.263,Provisional value
2014-07,-1453.687,Provisional value
2014-10,-410.775,Provisional value
