"",BBK01.OECB09O,BBK01.OECB09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:01,
2002-01,2.502,
2002-04,2.498,
2002-07,2.293,
2002-10,2.215,
2003-01,2.208,
2003-04,2.001,
2003-07,1.837,
2003-10,1.916,
2004-01,1.879,
2004-04,1.765,
2004-07,1.752,
2004-10,1.809,
2005-01,1.946,
2005-04,1.880,
2005-07,1.793,
2005-10,1.777,
2006-01,1.665,
2006-04,1.790,
2006-07,1.689,
2006-10,1.580,
2007-01,1.651,
2007-04,1.686,
2007-07,1.598,
2007-10,1.595,
2008-01,1.619,
2008-04,1.642,
2008-07,1.779,
2008-10,1.758,
2009-01,1.817,
2009-04,1.711,
2009-07,1.618,
2009-10,1.528,
2010-01,1.667,
2010-04,1.770,
2010-07,1.746,
2010-10,1.646,
2011-01,1.743,
2011-04,1.980,
2011-07,1.774,
2011-10,1.683,
2012-01,1.766,
2012-04,1.705,
2012-07,1.644,
2012-10,1.600,
2013-01,1.723,
2013-04,1.687,
2013-07,1.655,
2013-10,1.616,
2014-01,1.777,
2014-04,1.967,
2014-07,1.851,
