"",BBFN1.M.DE.N.1.L.NL.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NL.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1984-04,0.448,
1984-05,0.437,
1984-06,0.427,
1984-07,0.447,
1984-08,0.463,
1984-09,0.459,
1984-10,0.511,
1984-11,0.519,
1984-12,0.476,
1985-01,0.540,
1985-02,0.534,
1985-03,0.491,
1985-04,0.492,
1985-05,0.499,
1985-06,0.513,
1985-07,0.523,
1985-08,0.541,
1985-09,0.545,
1985-10,0.560,
1985-11,0.576,
1985-12,0.661,
1986-01,0.742,
1986-02,0.709,
1986-03,0.731,
1986-04,0.704,
1986-05,0.674,
1986-06,0.607,
1986-07,0.540,
1986-08,0.577,
1986-09,0.620,
1986-10,0.641,
1986-11,0.656,
1986-12,0.673,
1987-01,0.753,
1987-02,0.694,
1987-03,0.758,
1987-04,0.797,
1987-05,0.809,
1987-06,0.780,
1987-07,0.772,
1987-08,0.789,
1987-09,0.872,
1987-10,0.896,
1987-11,0.897,
1987-12,0.765,
1988-01,0.713,
1988-02,0.624,
1988-03,0.615,
1988-04,0.630,
1988-05,0.548,
1988-06,0.451,
1988-07,0.536,
1988-08,0.558,
1988-09,0.608,
1988-10,0.600,
1988-11,0.562,
1988-12,0.457,
1989-01,0.510,
1989-02,0.537,
1989-03,0.596,
1989-04,0.565,
1989-05,0.528,
1989-06,0.503,
1989-07,0.502,
1989-08,0.538,
1989-09,0.543,
1989-10,0.516,
1989-11,0.497,
1989-12,0.451,
1990-01,0.591,
1990-02,0.683,
1990-03,0.788,
1990-04,0.731,
1990-05,0.768,
1990-06,0.804,
1990-07,0.831,
1990-08,0.867,
1990-09,0.866,
1990-10,0.949,
1990-11,0.943,
1990-12,0.760,
1991-01,0.888,
1991-02,0.847,
1991-03,0.949,
1991-04,0.926,
1991-05,0.953,
1991-06,0.936,
1991-07,0.861,
1991-08,0.914,
1991-09,0.967,
1991-10,1.016,
1991-11,0.920,
1991-12,0.749,
1992-01,0.883,
1992-02,0.970,
1992-03,0.635,
1992-04,0.683,
1992-05,0.736,
1992-06,0.822,
1992-07,0.759,
1992-08,0.834,
1992-09,0.875,
1992-10,0.944,
1992-11,0.886,
1992-12,1.016,
1993-01,0.916,
1993-02,1.006,
1993-03,0.969,
1993-04,0.890,
1993-05,0.908,
1993-06,0.830,
1993-07,0.822,
1993-08,0.886,
1993-09,0.945,
1993-10,0.959,
1993-11,0.946,
1993-12,0.746,
1994-01,0.795,
1994-02,0.935,
1994-03,0.827,
1994-04,0.758,
1994-05,0.810,
1994-06,0.834,
1994-07,0.702,
1994-08,0.644,
1994-09,0.709,
1994-10,0.694,
1994-11,0.734,
1994-12,0.520,
1995-01,0.433,
1995-02,0.508,
1995-03,0.509,
1995-04,0.588,
1995-05,0.536,
1995-06,0.527,
1995-07,0.547,
1995-08,0.620,
1995-09,0.522,
1995-10,0.560,
1995-11,0.572,
1995-12,0.305,
1996-01,0.391,
1996-02,0.457,
1996-03,0.401,
1996-04,0.368,
1996-05,0.446,
1996-06,0.480,
1996-07,0.500,
1996-08,0.445,
1996-09,0.386,
1996-10,0.512,
1996-11,0.479,
1996-12,0.328,
1997-01,0.367,
1997-02,0.382,
1997-03,0.745,
1997-04,0.745,
1997-05,0.560,
1997-06,0.689,
1997-07,0.512,
1997-08,0.591,
1997-09,0.456,
1997-10,0.932,
1997-11,0.631,
1997-12,0.672,
1998-01,0.407,
1998-02,0.346,
1998-03,0.810,
1998-04,0.434,
1998-05,0.352,
1998-06,0.267,
1998-07,0.672,
1998-08,0.343,
1998-09,0.412,
1998-10,0.485,
1998-11,0.604,
1998-12,0.486,
1999-01,0.382,
1999-02,0.399,
1999-03,0.490,
1999-04,0.556,
1999-05,0.719,
1999-06,0.489,
1999-07,0.507,
1999-08,0.465,
1999-09,0.642,
1999-10,0.477,
1999-11,0.408,
1999-12,0.329,
2000-01,0.665,
2000-02,3.674,
2000-03,3.645,
2000-04,3.647,
2000-05,3.799,
2000-06,1.532,
2000-07,1.506,
2000-08,0.656,
2000-09,1.745,
2000-10,1.752,
2000-11,1.920,
2000-12,1.330,
2001-01,1.623,
2001-02,1.648,
2001-03,1.550,
2001-04,1.663,
2001-05,1.814,
2001-06,1.341,
2001-07,1.625,
2001-08,1.616,
2001-09,1.497,
2001-10,1.720,
2001-11,1.639,
2001-12,1.337,
2002-01,1.550,
2002-02,1.836,
2002-03,1.478,
2002-04,1.616,
2002-05,1.529,
2002-06,1.341,
2002-07,1.711,
2002-08,1.483,
2002-09,0.971,
2002-10,1.184,
2002-11,1.208,
2002-12,0.854,
2003-01,1.057,
2003-02,1.042,
2003-03,1.275,
2003-04,2.070,
2003-05,1.607,
2003-06,1.401,
2003-07,1.276,
2003-08,1.415,
2003-09,1.214,
2003-10,1.068,
2003-11,1.221,
2003-12,1.021,
2004-01,1.092,
2004-02,1.931,
2004-03,1.726,
2004-04,1.743,
2004-05,1.528,
2004-06,1.263,
2004-07,1.353,
2004-08,1.311,
2004-09,1.110,
2004-10,1.364,
2004-11,0.850,
2004-12,0.316,
2005-01,0.607,
2005-02,0.894,
2005-03,0.908,
2005-04,0.882,
2005-05,1.102,
2005-06,0.868,
2005-07,0.918,
2005-08,0.838,
2005-09,0.795,
2005-10,0.908,
2005-11,0.932,
2005-12,0.795,
2006-01,1.146,
2006-02,1.348,
2006-03,1.489,
2006-04,1.424,
2006-05,1.624,
2006-06,1.541,
2006-07,1.652,
2006-08,2.303,
2006-09,0.995,
2006-10,1.190,
2006-11,1.247,
2006-12,0.958,
2007-01,1.060,
2007-02,1.167,
2007-03,1.384,
2007-04,1.273,
2007-05,1.398,
2007-06,1.290,
2007-07,1.098,
2007-08,1.219,
2007-09,1.216,
2007-10,1.319,
2007-11,2.370,
2007-12,1.758,
2008-01,1.939,
2008-02,2.193,
2008-03,2.123,
2008-04,3.976,
2008-05,2.872,
2008-06,2.592,
2008-07,2.701,
2008-08,2.020,
2008-09,2.691,
2008-10,3.167,
2008-11,3.234,
2008-12,2.265,
2009-01,3.226,
2009-02,1.965,
2009-03,1.897,
2009-04,2.254,
2009-05,1.568,
2009-06,1.716,
2009-07,1.713,
2009-08,1.385,
2009-09,1.283,
2009-10,1.487,
2009-11,1.631,
2009-12,1.993,
2010-01,2.003,
2010-02,2.038,
2010-03,1.594,
2010-04,2.075,
2010-05,2.177,
2010-06,2.103,
2010-07,1.768,
2010-08,1.718,
2010-09,3.925,
2010-10,1.771,
2010-11,1.821,
2010-12,2.085,
2011-01,2.219,
2011-02,2.047,
2011-03,2.437,
2011-04,2.868,
2011-05,2.351,
2011-06,3.558,
2011-07,3.832,
2011-08,3.940,
2011-09,4.230,
2011-10,4.404,
2011-11,4.064,
2011-12,4.151,
2012-01,3.792,
2012-02,3.743,
2012-03,3.450,
2012-04,4.865,
2012-05,5.917,
2012-06,6.767,
2012-07,6.599,
2012-08,7.246,
2012-09,7.922,
2012-10,8.064,
2012-11,8.625,
2012-12,8.553,
2013-01,8.570,
2013-02,8.978,
2013-03,8.798,
2013-04,9.709,
2013-05,10.610,
2013-06,9.836,
2013-07,9.767,
2013-08,8.317,
2013-09,8.205,
2013-10,7.210,
2013-11,7.881,
2013-12,4.428,
2014-01,5.733,
2014-02,5.579,
2014-03,6.488,
2014-04,6.542,
2014-05,6.271,
2014-06,6.918,
2014-07,6.343,
2014-08,6.562,
2014-09,6.175,
2014-10,6.530,
2014-11,8.487,
2014-12,6.312,
