"",BBK01.OEBM05G,BBK01.OEBM05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:44,
2002-01,0.644,
2002-04,0.634,
2002-07,0.633,
2002-10,0.628,
2003-01,0.610,
2003-04,0.611,
2003-07,0.618,
2003-10,0.560,
2004-01,0.591,
2004-04,0.538,
2004-07,0.221,
2004-10,0.231,
2005-01,0.257,
2005-04,0.247,
2005-07,0.054,
2005-10,0.067,
2006-01,0.068,
2006-04,0.064,
2006-07,0.039,
2006-10,0.049,
2007-01,0.049,
2007-04,0.052,
2007-07,0.052,
2007-10,0.048,
2008-01,0.048,
2008-04,0.059,
2008-07,0.057,
2008-10,0.062,
2009-01,0.071,
2009-04,0.131,
2009-07,0.122,
2009-10,0.123,
2010-01,0.131,
2010-04,0.132,
2010-07,0.137,
2010-10,0.136,
2011-01,0.138,
2011-04,0.149,
2011-07,0.167,
2011-10,0.206,
2012-01,0.242,
2012-04,0.265,
2012-07,0.317,
2012-10,0.403,
2013-01,0.411,
2013-04,0.396,
2013-07,0.462,
2013-10,0.523,
2014-01,0.640,
2014-04,0.618,
2014-07,0.590,
