"",BBFB1.Q.N.DE.SI.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:39,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,7.925,
1992-07,44.830,
1992-10,8.354,
1993-01,34.532,
1993-04,26.170,
1993-07,23.075,
1993-10,-2.998,
1994-01,-0.574,
1994-04,2.033,
1994-07,18.669,
1994-10,40.144,
1995-01,25.480,
1995-04,41.231,
1995-07,76.509,
1995-10,-4.989,
1996-01,26.683,
1996-04,74.503,
1996-07,19.687,
1996-10,59.867,
1997-01,18.799,
1997-04,99.266,
1997-07,36.223,
1997-10,72.837,
1998-01,45.650,
1998-04,113.631,
1998-07,-33.181,
1998-10,37.668,
1999-01,93.602,
1999-04,14.294,
1999-07,19.496,
1999-10,51.560,
2000-01,178.164,
2000-04,135.908,
2000-07,87.338,
2000-10,100.605,
2001-01,70.621,
2001-04,139.256,
2001-07,56.512,
2001-10,141.408,
2002-01,-128.098,
2002-04,-86.161,
2002-07,-29.603,
2002-10,112.482,
2003-01,54.662,
2003-04,-26.772,
2003-07,25.230,
2003-10,-58.867,
2004-01,168.398,
2004-04,23.937,
2004-07,120.086,
2004-10,67.211,
2005-01,205.437,
2005-04,285.559,
2005-07,317.995,
2005-10,494.883,
2006-01,189.889,
2006-04,332.045,
2006-07,148.775,
2006-10,58.538,
2007-01,290.244,
2007-04,427.291,
2007-07,114.445,
2007-10,174.752,
2008-01,81.260,
2008-04,6.709,
2008-07,-85.119,
2008-10,-214.595,
2009-01,-0.023,
2009-04,-312.433,
2009-07,612.457,
2009-10,-237.389,
2010-01,786.194,
2010-04,-217.224,
2010-07,-14.362,
2010-10,2.092,
2011-01,452.911,
2011-04,-342.521,
2011-07,-183.195,
2011-10,-244.173,
2012-01,104.252,
2012-04,-65.328,
2012-07,-328.651,
2012-10,-191.228,
2013-01,-60.655,
2013-04,-92.083,
2013-07,-34.213,
2013-10,84.020,
2014-01,599.053,Provisional value
2014-04,138.311,Provisional value
2014-07,-39.810,Provisional value
2014-10,528.203,Provisional value
