"",BBK01.OEBJ02M,BBK01.OEBJ02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:11,
2002-01,3.284,
2002-04,3.007,
2002-07,4.187,
2002-10,4.169,
2003-01,3.357,
2003-04,3.725,
2003-07,3.861,
2003-10,4.762,
2004-01,4.320,
2004-04,4.381,
2004-07,5.274,
2004-10,6.187,
2005-01,4.884,
2005-04,4.405,
2005-07,4.892,
2005-10,5.102,
2006-01,4.524,
2006-04,4.831,
2006-07,4.595,
2006-10,5.378,
2007-01,5.063,
2007-04,5.390,
2007-07,4.954,
2007-10,6.206,
2008-01,5.306,
2008-04,5.227,
2008-07,4.932,
2008-10,6.639,
2009-01,7.123,
2009-04,7.487,
2009-07,8.043,
2009-10,8.945,
2010-01,8.343,
2010-04,8.747,
2010-07,8.853,
2010-10,8.403,
2011-01,8.109,
2011-04,8.164,
2011-07,7.813,
2011-10,10.034,
2012-01,8.796,
2012-04,9.202,
2012-07,10.806,
2012-10,10.775,
2013-01,10.364,
2013-04,10.052,
2013-07,9.861,
2013-10,10.049,
2014-01,10.067,
2014-04,10.169,
2014-07,10.298,
