"",BBK01.OELO04G,BBK01.OELO04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:41,
2002-01,-0.573,
2002-04,-0.511,
2002-07,-0.023,
2002-10,0.078,
2003-01,-0.003,
2003-04,-0.247,
2003-07,-0.101,
2003-10,0.128,
2004-01,0.452,
2004-04,-0.066,
2004-07,-0.191,
2004-10,0.300,
2005-01,0.190,
2005-04,-0.399,
2005-07,-0.387,
2005-10,-0.135,
2006-01,-0.271,
2006-04,-0.602,
2006-07,-0.613,
2006-10,-0.910,
2007-01,-1.138,
2007-04,-1.305,
2007-07,-1.093,
2007-10,-1.107,
2008-01,-1.360,
2008-04,-1.220,
2008-07,-1.079,
2008-10,-0.011,
2009-01,1.165,
2009-04,0.649,
2009-07,1.371,
2009-10,2.350,
2010-01,1.852,
2010-04,0.206,
2010-07,0.285,
2010-10,0.110,
2011-01,0.937,
2011-04,-0.265,
2011-07,-0.176,
2011-10,-0.430,
2012-01,-0.202,
2012-04,-0.526,
2012-07,0.371,
2012-10,0.180,
2013-01,0.410,
2013-04,-0.230,
2013-07,0.215,
2013-10,0.192,
2014-01,0.224,
2014-04,-0.455,
2014-07,0.823,
