"",BBK01.OEAE14Q,BBK01.OEAE14Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:23,
2002-01,0.196,
2002-04,0.181,
2002-07,0.145,
2002-10,0.176,
2003-01,0.188,
2003-04,0.171,
2003-07,0.162,
2003-10,0.168,
2004-01,0.175,
2004-04,0.143,
2004-07,0.128,
2004-10,0.138,
2005-01,0.152,
2005-04,0.258,
2005-07,0.131,
2005-10,0.136,
2006-01,0.151,
2006-04,0.143,
2006-07,0.112,
2006-10,0.117,
2007-01,0.128,
2007-04,0.117,
2007-07,0.103,
2007-10,0.114,
2008-01,0.136,
2008-04,0.183,
2008-07,0.160,
2008-10,0.164,
2009-01,0.171,
2009-04,0.160,
2009-07,0.087,
2009-10,0.095,
2010-01,0.112,
2010-04,0.101,
2010-07,0.081,
2010-10,0.092,
2011-01,0.103,
2011-04,0.088,
2011-07,0.069,
2011-10,0.082,
2012-01,0.099,
2012-04,0.092,
2012-07,0.074,
2012-10,0.099,
2013-01,0.112,
2013-04,0.098,
2013-07,0.077,
2013-10,0.083,
2014-01,0.096,
2014-04,0.091,
2014-07,0.074,
