"",BBK01.OECB13H,BBK01.OECB13H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:55,
2002-01,40.409,
2002-04,40.172,
2002-07,39.767,
2002-10,39.400,
2003-01,38.987,
2003-04,38.521,
2003-07,37.733,
2003-10,37.140,
2004-01,36.221,
2004-04,36.449,
2004-07,36.359,
2004-10,35.801,
2005-01,35.883,
2005-04,35.236,
2005-07,34.489,
2005-10,33.740,
2006-01,33.010,
2006-04,31.509,
2006-07,30.800,
2006-10,29.515,
2007-01,28.122,
2007-04,27.180,
2007-07,26.209,
2007-10,25.561,
2008-01,24.697,
2008-04,23.990,
2008-07,23.147,
2008-10,22.186,
2009-01,21.264,
2009-04,13.003,
2009-07,12.642,
2009-10,12.299,
2010-01,12.202,
2010-04,11.672,
2010-07,11.387,
2010-10,11.748,
2011-01,10.737,
2011-04,10.540,
2011-07,10.332,
2011-10,10.017,
2012-01,9.752,
2012-04,9.603,
2012-07,9.487,
2012-10,9.372,
2013-01,9.246,
2013-04,9.223,
2013-07,9.455,
2013-10,9.425,
2014-01,9.296,
2014-04,9.446,
2014-07,9.358,
