"",BBK01.CEFX7J,BBK01.CEFX7J_FLAGS
"","Pension entitlements, Claims of pension funds on pension managers, Entitlements to non-pension benefits                   debtor: Total                               creditor: Households",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:17,
1999-01,330.1,
1999-04,333.8,
1999-07,338.0,
1999-10,342.1,
2000-01,350.0,
2000-04,356.3,
2000-07,362.9,
2000-10,368.7,
2001-01,375.2,
2001-04,380.0,
2001-07,385.4,
2001-10,385.5,
2002-01,391.7,
2002-04,396.4,
2002-07,401.4,
2002-10,402.7,
2003-01,408.2,
2003-04,412.4,
2003-07,416.7,
2003-10,424.8,
2004-01,429.3,
2004-04,432.8,
2004-07,436.3,
2004-10,445.1,
2005-01,450.0,
2005-04,453.9,
2005-07,457.8,
2005-10,471.5,
2006-01,477.5,
2006-04,484.0,
2006-07,492.5,
2006-10,500.8,
2007-01,508.9,
2007-04,514.9,
2007-07,522.8,
2007-10,534.0,
2008-01,538.4,
2008-04,543.1,
2008-07,548.0,
2008-10,552.4,
2009-01,559.2,
2009-04,567.1,
2009-07,575.2,
2009-10,584.0,
2010-01,590.3,
2010-04,597.6,
2010-07,604.4,
2010-10,614.2,
2011-01,620.7,
2011-04,626.7,
2011-07,632.6,
2011-10,641.4,
2012-01,650.3,
2012-04,656.7,
2012-07,663.6,
2012-10,677.0,
2013-01,684.3,
2013-04,690.3,
2013-07,696.2,
2013-10,707.1,
2014-01,715.9,
2014-04,722.6,
2014-07,727.9,
