"",BBK01.OEAH08M,BBK01.OEAH08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:40,
2002-01,7.981,
2002-04,8.015,
2002-07,7.953,
2002-10,7.824,
2003-01,7.661,
2003-04,7.629,
2003-07,7.676,
2003-10,7.599,
2004-01,7.609,
2004-04,7.607,
2004-07,7.711,
2004-10,7.863,
2005-01,7.778,
2005-04,8.004,
2005-07,7.935,
2005-10,7.943,
2006-01,8.070,
2006-04,8.236,
2006-07,8.544,
2006-10,8.958,
2007-01,9.516,
2007-04,9.753,
2007-07,10.214,
2007-10,10.671,
2008-01,11.075,
2008-04,11.234,
2008-07,11.422,
2008-10,12.056,
2009-01,12.084,
2009-04,11.769,
2009-07,11.308,
2009-10,11.413,
2010-01,11.773,
2010-04,11.905,
2010-07,11.858,
2010-10,11.971,
2011-01,12.033,
2011-04,12.419,
2011-07,12.460,
2011-10,12.485,
2012-01,11.856,
2012-04,11.736,
2012-07,11.453,
2012-10,10.612,
2013-01,9.421,
2013-04,8.666,
2013-07,8.055,
2013-10,7.741,
2014-01,7.179,
2014-04,6.402,
2014-07,5.928,
