"",BBK01.OEAE23Q,BBK01.OEAE23Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:26,
2002-01,0.089,
2002-04,0.092,
2002-07,0.087,
2002-10,0.081,
2003-01,0.079,
2003-04,0.077,
2003-07,0.074,
2003-10,0.088,
2004-01,0.065,
2004-04,0.066,
2004-07,0.061,
2004-10,0.054,
2005-01,0.052,
2005-04,0.051,
2005-07,0.050,
2005-10,0.048,
2006-01,0.042,
2006-04,0.040,
2006-07,0.041,
2006-10,0.040,
2007-01,0.042,
2007-04,0.051,
2007-07,0.050,
2007-10,0.052,
2008-01,0.046,
2008-04,0.047,
2008-07,0.043,
2008-10,0.045,
2009-01,0.038,
2009-04,0.038,
2009-07,0.037,
2009-10,0.037,
2010-01,0.039,
2010-04,0.038,
2010-07,0.041,
2010-10,0.038,
2011-01,0.038,
2011-04,0.036,
2011-07,0.034,
2011-10,0.037,
2012-01,0.040,
2012-04,0.040,
2012-07,0.042,
2012-10,0.039,
2013-01,0.041,
2013-04,0.042,
2013-07,0.038,
2013-10,0.038,
2014-01,0.037,
2014-04,0.035,
2014-07,0.036,
