"",BBK01.OEAD17G,BBK01.OEAD17G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:32,
2002-01,1.241,
2002-04,1.339,
2002-07,1.580,
2002-10,1.273,
2003-01,0.954,
2003-04,1.123,
2003-07,1.038,
2003-10,0.919,
2004-01,1.144,
2004-04,0.880,
2004-07,0.812,
2004-10,0.805,
2005-01,0.870,
2005-04,0.897,
2005-07,0.919,
2005-10,0.826,
2006-01,0.813,
2006-04,0.950,
2006-07,0.911,
2006-10,0.888,
2007-01,1.065,
2007-04,1.407,
2007-07,1.203,
2007-10,1.161,
2008-01,1.200,
2008-04,1.287,
2008-07,1.251,
2008-10,1.359,
2009-01,1.163,
2009-04,1.141,
2009-07,1.197,
2009-10,1.262,
2010-01,1.183,
2010-04,1.252,
2010-07,1.324,
2010-10,1.350,
2011-01,1.316,
2011-04,1.236,
2011-07,1.259,
2011-10,1.166,
2012-01,1.185,
2012-04,1.213,
2012-07,1.185,
2012-10,1.124,
2013-01,1.217,
2013-04,1.237,
2013-07,1.220,
2013-10,1.191,
2014-01,1.264,
2014-04,1.422,
2014-07,1.304,
