"",BBK01.OEYB07M,BBK01.OEYB07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:17,
2002-01,7.580,
2002-04,7.667,
2002-07,7.583,
2002-10,7.677,
2003-01,7.844,
2003-04,8.875,
2003-07,9.246,
2003-10,9.009,
2004-01,9.096,
2004-04,8.857,
2004-07,8.417,
2004-10,8.050,
2005-01,8.020,
2005-04,8.306,
2005-07,8.454,
2005-10,7.830,
2006-01,7.724,
2006-04,8.191,
2006-07,7.758,
2006-10,8.071,
2007-01,8.219,
2007-04,8.089,
2007-07,8.964,
2007-10,9.221,
2008-01,9.002,
2008-04,9.112,
2008-07,9.405,
2008-10,8.979,
2009-01,8.881,
2009-04,9.044,
2009-07,9.661,
2009-10,10.100,
2010-01,10.132,
2010-04,10.488,
2010-07,10.547,
2010-10,10.528,
2011-01,10.329,
2011-04,10.117,
2011-07,10.656,
2011-10,11.274,
2012-01,11.271,
2012-04,11.587,
2012-07,11.629,
2012-10,11.853,
2013-01,11.519,
2013-04,11.636,
2013-07,11.429,
2013-10,11.220,
2014-01,11.088,
2014-04,10.669,
2014-07,10.416,
