"",BBK01.OELB10K,BBK01.OELB10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:49,
2002-01,0.201,
2002-04,0.232,
2002-07,0.221,
2002-10,0.218,
2003-01,0.206,
2003-04,0.210,
2003-07,0.191,
2003-10,0.171,
2004-01,0.150,
2004-04,0.153,
2004-07,0.158,
2004-10,0.156,
2005-01,0.150,
2005-04,0.140,
2005-07,0.151,
2005-10,0.131,
2006-01,0.146,
2006-04,0.163,
2006-07,0.174,
2006-10,0.182,
2007-01,0.170,
2007-04,0.192,
2007-07,0.164,
2007-10,0.177,
2008-01,0.177,
2008-04,0.238,
2008-07,0.198,
2008-10,0.203,
2009-01,0.221,
2009-04,0.207,
2009-07,0.204,
2009-10,0.213,
2010-01,0.177,
2010-04,0.240,
2010-07,0.223,
2010-10,0.239,
2011-01,0.202,
2011-04,0.195,
2011-07,0.201,
2011-10,0.201,
2012-01,0.191,
2012-04,0.206,
2012-07,0.211,
2012-10,0.189,
2013-01,0.199,
2013-04,0.191,
2013-07,0.191,
2013-10,0.219,
2014-01,0.172,
2014-04,0.177,
2014-07,0.218,
