"",BBK01.OEAB07O,BBK01.OEAB07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:39,
2002-01,8.328,
2002-04,8.078,
2002-07,8.145,
2002-10,8.404,
2003-01,8.063,
2003-04,8.029,
2003-07,8.073,
2003-10,8.199,
2004-01,7.724,
2004-04,6.980,
2004-07,6.772,
2004-10,4.878,
2005-01,8.261,
2005-04,8.275,
2005-07,8.233,
2005-10,8.014,
2006-01,7.954,
2006-04,7.919,
2006-07,7.902,
2006-10,7.954,
2007-01,7.893,
2007-04,8.174,
2007-07,8.394,
2007-10,8.342,
2008-01,8.318,
2008-04,8.283,
2008-07,7.719,
2008-10,7.540,
2009-01,7.369,
2009-04,7.935,
2009-07,8.157,
2009-10,8.660,
2010-01,8.839,
2010-04,9.438,
2010-07,10.028,
2010-10,10.311,
2011-01,10.440,
2011-04,10.969,
2011-07,11.591,
2011-10,11.304,
2012-01,11.974,
2012-04,12.282,
2012-07,12.142,
2012-10,11.998,
2013-01,11.538,
2013-04,11.330,
2013-07,11.895,
2013-10,11.238,
2014-01,11.194,
2014-04,11.092,
2014-07,11.073,
