"",BBK01.OXA7B5,BBK01.OXA7B5_FLAGS
"",Revolving loans and overdrafts to self-employed persons (including sole proprietors) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:05,
2010-06,18.275,
2010-07,18.585,
2010-08,18.531,
2010-09,19.182,
2010-10,18.187,
2010-11,18.017,
2010-12,18.609,
2011-01,18.118,
2011-02,18.174,
2011-03,18.623,
2011-04,17.622,
2011-05,17.382,
2011-06,18.454,
2011-07,17.383,
2011-08,17.068,
2011-09,18.553,
2011-10,17.791,
2011-11,17.805,
2011-12,18.216,
2012-01,19.411,
2012-02,19.754,
2012-03,20.651,
2012-04,20.600,
2012-05,20.559,
2012-06,21.690,
2012-07,20.485,
2012-08,19.826,
2012-09,20.892,
2012-10,19.786,
2012-11,19.680,
2012-12,20.780,
2013-01,19.766,
2013-02,20.160,
2013-03,21.012,
2013-04,19.987,
2013-05,20.134,
2013-06,21.107,
2013-07,19.596,
2013-08,19.213,
2013-09,20.364,
2013-10,19.125,
2013-11,18.952,
2013-12,19.684,
2014-01,18.764,
2014-02,18.858,
2014-03,19.825,
2014-04,18.883,
2014-05,18.766,
2014-06,20.013,
2014-07,18.507,
2014-08,18.080,
2014-09,19.330,
2014-10,18.118,
2014-11,18.138,
2014-12,18.747,Provisional value
