"",BBEX3.M.XAU.EUR.EA.AC.C07,BBEX3.M.XAU.EUR.EA.AC.C07_FLAGS
"",Price of gold in London / afternoon fixing / 1 ounce of fine gold = EUR ...,
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:01:48,
1999-01,247.460,
1999-02,256.468,
1999-03,262.917,
1999-04,263.836,
1999-05,259.673,
1999-06,251.789,
1999-07,247.455,
1999-08,241.946,
1999-09,252.066,
1999-10,290.317,
1999-11,283.729,
1999-12,279.921,
2000-01,280.573,
2000-02,304.847,
2000-03,296.839,
2000-04,295.450,
2000-05,303.775,
2000-06,300.598,
2000-07,299.508,
2000-08,303.328,
2000-09,313.873,
2000-10,315.948,
2000-11,310.863,
2000-12,303.810,
2001-01,283.057,
2001-02,284.276,
2001-03,289.286,
2001-04,291.775,
2001-05,311.380,
2001-06,316.930,
2001-07,310.838,
2001-08,302.611,
2001-09,310.984,
2001-10,312.306,
2001-11,310.881,
2001-12,308.820,
2002-01,318.916,
2002-02,339.490,
2002-03,335.629,
2002-04,341.355,
2002-05,343.041,
2002-06,335.167,
2002-07,315.644,
2002-08,317.272,
2002-09,325.535,
2002-10,322.666,
2002-11,318.625,
2002-12,326.422,
2003-01,335.983,
2003-02,332.943,
2003-03,314.977,
2003-04,302.453,
2003-05,307.303,
2003-06,305.389,
2003-07,308.502,
2003-08,322.335,
2003-09,337.021,
2003-10,323.710,
2003-11,332.824,
2003-12,331.701,
2004-01,327.791,
2004-02,319.834,
2004-03,331.227,
2004-04,336.494,
2004-05,319.540,
2004-06,323.006,
2004-07,324.310,
2004-08,328.493,
2004-09,331.857,
2004-10,336.441,
2004-11,338.008,
2004-12,330.676,
2005-01,323.495,
2005-02,325.298,
2005-03,328.777,
2005-04,331.818,
2005-05,332.547,
2005-06,354.373,
2005-07,352.574,
2005-08,356.186,
2005-09,372.479,
2005-10,390.839,
2005-11,404.544,
2005-12,430.081,
2006-01,453.580,
2006-02,464.768,
2006-03,463.127,
2006-04,497.448,
2006-05,528.542,
2006-06,470.770,
2006-07,499.416,
2006-08,493.224,
2006-09,470.137,
2006-10,464.429,
2006-11,487.142,
2006-12,476.527,
2007-01,485.960,
2007-02,508.254,
2007-03,494.554,
2007-04,502.556,
2007-05,493.443,
2007-06,488.505,
2007-07,484.916,
2007-08,488.519,
2007-09,512.395,
2007-10,530.219,
2007-11,549.107,
2007-12,551.211,
2008-01,604.125,
2008-02,625.597,
2008-03,623.762,
2008-04,577.512,
2008-05,571.530,
2008-06,571.797,
2008-07,596.170,
2008-08,560.152,
2008-09,577.167,
2008-10,605.854,
2008-11,597.133,
2008-12,607.576,
2009-01,648.505,
2009-02,737.732,
2009-03,708.496,
2009-04,674.817,
2009-05,680.114,
2009-06,675.125,
2009-07,663.355,
2009-08,665.853,
2009-09,684.529,
2009-10,703.949,
2009-11,754.148,
2009-12,775.671,
2010-01,783.387,
2010-02,801.058,
2010-03,820.412,
2010-04,857.021,
2010-05,962.205,
2010-06,1009.266,
2010-07,933.498,
2010-08,941.406,
2010-09,971.851,
2010-10,965.540,
2010-11,1003.785,
2010-12,1051.131,
2011-01,1015.018,
2011-02,1006.256,
2011-03,1016.111,
2011-04,1021.938,
2011-05,1055.389,
2011-06,1062.081,
2011-07,1101.486,
2011-08,1225.120,
2011-09,1286.321,
2011-10,1214.314,
2011-11,1282.596,
2011-12,1251.662,
2012-01,1284.456,
2012-02,1317.767,
2012-03,1267.747,
2012-04,1253.324,
2012-05,1239.332,
2012-06,1272.189,
2012-07,1297.182,
2012-08,1311.561,
2012-09,1355.735,
2012-10,1346.080,
2012-11,1341.261,
2012-12,1288.505,
2013-01,1256.607,
2013-02,1219.055,
2013-03,1229.235,
2013-04,1139.809,
2013-05,1088.291,
2013-06,1018.063,
2013-07,983.934,
2013-08,1012.243,
2013-09,1010.613,
2013-10,964.568,
2013-11,945.622,
2013-12,894.123,
2014-01,914.272,
2014-02,952.109,
2014-03,966.075,
2014-04,940.466,
2014-05,937.742,
2014-06,941.042,
2014-07,968.418,
2014-08,972.776,
2014-09,960.082,
2014-10,964.715,
2014-11,943.153,
2014-12,973.707,
2015-01,1078.137,
"",General: 1 ounce of fine gold = 31.1034768 g.,
"",Source: The London Bullion Market Association.,
"",Methodology: The averages were calculated from daily quotations.,
