"",BBFI1.Q.N.DE.W1.S122.S1.LE.A.FA.O.F4.L._T.N.N,BBFI1.Q.N.DE.W1.S122.S1.LE.A.FA.O.F4.L._T.N.N_FLAGS
"","IIP - Other Investment - Loans - Deposit taking corporations, except the Central Bank - Long-term original maturity (over 1 year) - Assets - Positions",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:03:27,
1999-10,183096,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,215717,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,247534,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,240012,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,233908,
2004-01,236347,
2004-04,239133,
2004-07,233595,
2004-10,225933,
2005-01,232680,
2005-04,243857,
2005-07,248710,
2005-10,255126,
2006-01,262572,
2006-04,262792,
2006-07,265766,
2006-10,264910,
2007-01,266684,
2007-04,278088,
2007-07,287994,
2007-10,295397,
2008-01,300731,
2008-04,332012,
2008-07,366273,
2008-10,377463,
2009-01,379056,
2009-04,370899,
2009-07,356712,
2009-10,352719,
2010-01,359162,
2010-04,371816,
2010-07,355415,
2010-10,348775,
2011-01,336658,
2011-04,332060,
2011-07,344755,
2011-10,353769,
2012-01,347422,
2012-04,351727,
2012-07,345793,
2012-10,337046,
2013-01,334005,
2013-04,323565,
2013-07,312830,
2013-10,304632,
2014-01,305059,
2014-04,305852,
2014-07,318579,
