"",BBFB1.Q.N.DE.B5.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:25,
1991-01,6931.021,
1991-04,5812.623,
1991-07,6757.324,
1991-10,6807.892,
1992-01,8402.177,
1992-04,6745.987,
1992-07,9164.142,
1992-10,6323.167,
1993-01,9588.461,
1993-04,8591.709,
1993-07,7321.262,
1993-10,7535.786,
1994-01,9751.325,
1994-04,9891.591,
1994-07,8883.197,
1994-10,8737.856,
1995-01,9846.423,
1995-04,10539.809,
1995-07,10647.994,
1995-10,11578.550,
1996-01,11677.023,
1996-04,10363.601,
1996-07,10822.803,
1996-10,10860.067,
1997-01,10312.027,
1997-04,12304.583,
1997-07,11304.521,
1997-10,12333.770,
1998-01,13130.954,
1998-04,14176.552,
1998-07,12933.435,
1998-10,14515.735,
1999-01,14197.086,
1999-04,13596.399,
1999-07,13691.610,
1999-10,17556.680,
2000-01,19901.736,
2000-04,18815.733,
2000-07,14515.190,
2000-10,16808.051,
2001-01,22929.035,
2001-04,18596.992,
2001-07,20140.715,
2001-10,21709.355,
2002-01,27074.921,
2002-04,26738.589,
2002-07,25973.593,
2002-10,26260.788,
2003-01,26518.007,
2003-04,23989.522,
2003-07,27349.586,
2003-10,27345.884,
2004-01,31229.132,
2004-04,33947.180,
2004-07,29006.654,
2004-10,29106.800,
2005-01,33589.589,
2005-04,33958.490,
2005-07,31022.167,
2005-10,31628.292,
2006-01,37497.857,
2006-04,35294.477,
2006-07,32251.833,
2006-10,33846.678,
2007-01,46694.805,
2007-04,43586.819,
2007-07,41547.543,
2007-10,44475.338,
2008-01,46879.380,
2008-04,45489.378,
2008-07,37076.172,
2008-10,30554.979,
2009-01,28120.907,
2009-04,27078.003,
2009-07,28507.451,
2009-10,29845.791,
2010-01,30574.081,
2010-04,30222.146,
2010-07,28905.459,
2010-10,30934.464,
2011-01,33968.016,
2011-04,28065.941,
2011-07,28321.516,
2011-10,24303.445,
2012-01,31557.685,
2012-04,27583.684,
2012-07,26578.361,
2012-10,23052.123,
2013-01,29348.183,
2013-04,26723.863,
2013-07,24123.890,
2013-10,22147.079,
2014-01,31612.036,Provisional value
2014-04,27402.444,Provisional value
2014-07,30499.200,Provisional value
