"",BBFB1.Q.N.DE.HU.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.HU.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:56,
1991-01,-0.002,
1991-04,0.109,
1991-07,0.076,
1991-10,0.100,
1992-01,0.201,
1992-04,0.000,
1992-07,-0.010,
1992-10,0.222,
1993-01,0.085,
1993-04,0.045,
1993-07,0.032,
1993-10,0.185,
1994-01,-0.209,
1994-04,2.332,
1994-07,0.249,
1994-10,-0.648,
1995-01,-0.145,
1995-04,-13.452,
1995-07,6.686,
1995-10,16.797,
1996-01,-1.301,
1996-04,-13.081,
1996-07,16.229,
1996-10,19.831,
1997-01,1.587,
1997-04,0.936,
1997-07,-0.277,
1997-10,0.229,
1998-01,-3.409,
1998-04,-0.434,
1998-07,-0.026,
1998-10,-3.254,
1999-01,-5.249,
1999-04,0.803,
1999-07,3.318,
1999-10,1.401,
2000-01,-3.220,
2000-04,6.204,
2000-07,-7.902,
2000-10,-0.512,
2001-01,-11.917,
2001-04,8.622,
2001-07,-6.663,
2001-10,5.200,
2002-01,-14.453,
2002-04,-7.030,
2002-07,-5.403,
2002-10,-4.938,
2003-01,-17.695,
2003-04,-3.030,
2003-07,-9.559,
2003-10,-9.642,
2004-01,-1.587,
2004-04,-5.203,
2004-07,4.797,
2004-10,-8.857,
2005-01,9.154,
2005-04,46.106,
2005-07,2.318,
2005-10,-0.469,
2006-01,-2.789,
2006-04,-2.303,
2006-07,4.655,
2006-10,4.347,
2007-01,4.428,
2007-04,0.978,
2007-07,11.217,
2007-10,13.853,
2008-01,-3.116,
2008-04,22.138,
2008-07,-12.437,
2008-10,8.622,
2009-01,18.510,
2009-04,-5.386,
2009-07,-26.302,
2009-10,-31.937,
2010-01,-69.592,
2010-04,-54.584,
2010-07,-69.327,
2010-10,-43.471,
2011-01,-113.717,
2011-04,-75.307,
2011-07,-70.184,
2011-10,-45.655,
2012-01,-42.280,
2012-04,-57.555,
2012-07,-107.920,
2012-10,-87.694,
2013-01,-117.554,
2013-04,-152.657,
2013-07,-147.363,
2013-10,-113.932,
2014-01,-86.535,Provisional value
2014-04,-142.531,Provisional value
2014-07,-143.276,Provisional value
2014-10,-236.488,Provisional value
