"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.CZ.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.CZ.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Czech Republic,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:46,
2009-09,70,
2009-10,69,
2009-11,69,
2009-12,67,
2010-01,66,
2010-02,65,
2010-03,57,
2010-04,59,
2010-05,57,
2010-06,54,
2010-07,58,
2010-08,56,
2010-09,61,
2010-10,55,
2010-11,58,
2010-12,59,
2011-01,56,
2011-02,53,
2011-03,61,
2011-04,64,
2011-05,66,
2011-06,72,
2011-07,73,
2011-08,76,
2011-09,68,
2011-10,62,
2011-11,64,
2011-12,74,
2012-01,55,
2012-02,62,
2012-03,57,
2012-04,53,
2012-05,52,
2012-06,54,
2012-07,52,
2012-08,61,
2012-09,54,
2012-10,54,
2012-11,50,
2012-12,47,
2013-01,44,
2013-02,41,
2013-03,41,
2013-04,41,
2013-05,40,
2013-06,37,
2013-07,38,
2013-08,39,
2013-09,43,
2013-10,51,
2013-11,50,
2013-12,47,
2014-01,46,
2014-02,50,
2014-03,53,
2014-04,54,
2014-05,49,
2014-06,47,
2014-07,48,
2014-08,49,
2014-09,59,
2014-10,54,
2014-11,67,
