"",BBDE1.M.DE.W.AEB5.A2P320000.F.V.I10.A,BBDE1.M.DE.W.AEB5.A2P320000.F.V.I10.A_FLAGS
"",Orders received from abroad / At current prices / Germany / Capital goods / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:16,
1991-01,38.2,
1991-02,35.4,
1991-03,41.2,
1991-04,36.4,
1991-05,36.2,
1991-06,39.5,
1991-07,38.1,
1991-08,36.6,
1991-09,38.6,
1991-10,39.3,
1991-11,39.7,
1991-12,42.1,
1992-01,37.6,
1992-02,39.0,
1992-03,43.3,
1992-04,37.6,
1992-05,35.5,
1992-06,37.3,
1992-07,35.6,
1992-08,31.5,
1992-09,37.1,
1992-10,32.9,
1992-11,36.0,
1992-12,35.2,
1993-01,33.9,
1993-02,33.7,
1993-03,36.9,
1993-04,33.6,
1993-05,34.2,
1993-06,36.0,
1993-07,33.1,
1993-08,28.9,
1993-09,37.8,
1993-10,36.9,
1993-11,37.7,
1993-12,39.0,
1994-01,33.7,
1994-02,35.4,
1994-03,43.3,
1994-04,38.4,
1994-05,36.4,
1994-06,41.9,
1994-07,37.5,
1994-08,31.8,
1994-09,41.1,
1994-10,41.2,
1994-11,42.6,
1994-12,42.7,
1995-01,38.2,
1995-02,39.8,
1995-03,44.2,
1995-04,37.4,
1995-05,37.7,
1995-06,39.8,
1995-07,39.2,
1995-08,32.8,
1995-09,40.4,
1995-10,38.3,
1995-11,39.9,
1995-12,41.0,
1996-01,37.9,
1996-02,40.3,
1996-03,45.7,
1996-04,41.9,
1996-05,42.4,
1996-06,42.4,
1996-07,43.0,
1996-08,36.9,
1996-09,42.5,
1996-10,45.6,
1996-11,45.6,
1996-12,42.8,
1997-01,45.4,
1997-02,44.8,
1997-03,51.7,
1997-04,50.2,
1997-05,46.3,
1997-06,49.7,
1997-07,47.5,
1997-08,44.1,
1997-09,53.9,
1997-10,51.8,
1997-11,50.3,
1997-12,51.6,
1998-01,50.5,
1998-02,51.6,
1998-03,58.5,
1998-04,55.3,
1998-05,52.4,
1998-06,53.7,
1998-07,51.7,
1998-08,44.0,
1998-09,54.8,
1998-10,53.8,
1998-11,50.3,
1998-12,55.0,
1999-01,48.4,
1999-02,53.2,
1999-03,57.1,
1999-04,54.8,
1999-05,51.6,
1999-06,57.1,
1999-07,54.6,
1999-08,53.7,
1999-09,61.6,
1999-10,59.6,
1999-11,61.8,
1999-12,59.0,
2000-01,58.3,
2000-02,62.8,
2000-03,73.0,
2000-04,65.7,
2000-05,65.9,
2000-06,68.9,
2000-07,69.3,
2000-08,60.1,
2000-09,71.0,
2000-10,74.7,
2000-11,74.6,
2000-12,75.1,
2001-01,69.5,
2001-02,71.9,
2001-03,76.6,
2001-04,67.2,
2001-05,70.8,
2001-06,74.7,
2001-07,67.6,
2001-08,59.5,
2001-09,68.4,
2001-10,66.7,
2001-11,69.3,
2001-12,71.2,
2002-01,68.7,
2002-02,68.2,
2002-03,78.8,
2002-04,70.5,
2002-05,78.2,
2002-06,74.8,
2002-07,70.9,
2002-08,66.5,
2002-09,73.6,
2002-10,74.1,
2002-11,76.0,
2002-12,67.2,
2003-01,73.3,
2003-02,71.7,
2003-03,77.7,
2003-04,71.8,
2003-05,67.2,
2003-06,75.0,
2003-07,69.9,
2003-08,64.1,
2003-09,75.2,
2003-10,74.7,
2003-11,75.2,
2003-12,77.3,
2004-01,74.3,
2004-02,73.0,
2004-03,84.3,
2004-04,78.6,
2004-05,81.1,
2004-06,80.7,
2004-07,79.5,
2004-08,67.6,
2004-09,83.0,
2004-10,79.5,
2004-11,78.3,
2004-12,87.9,
2005-01,81.4,
2005-02,80.8,
2005-03,91.6,
2005-04,79.9,
2005-05,82.2,
2005-06,89.6,
2005-07,88.0,
2005-08,74.8,
2005-09,93.8,
2005-10,93.3,
2005-11,97.9,
2005-12,97.9,
2006-01,95.6,
2006-02,96.5,
2006-03,103.0,
2006-04,96.0,
2006-05,94.6,
2006-06,97.7,
2006-07,98.2,
2006-08,91.3,
2006-09,97.5,
2006-10,97.8,
2006-11,100.7,
2006-12,106.1,
2007-01,102.1,
2007-02,111.4,
2007-03,115.8,
2007-04,105.1,
2007-05,111.5,
2007-06,125.8,
2007-07,107.8,
2007-08,98.0,
2007-09,111.2,
2007-10,118.3,
2007-11,123.7,
2007-12,123.6,
2008-01,114.9,
2008-02,119.7,
2008-03,124.4,
2008-04,113.5,
2008-05,110.3,
2008-06,108.1,
2008-07,102.2,
2008-08,94.2,
2008-09,95.9,
2008-10,85.7,
2008-11,84.1,
2008-12,77.2,
2009-01,62.0,
2009-02,64.9,
2009-03,76.2,
2009-04,65.3,
2009-05,68.9,
2009-06,78.9,
2009-07,72.4,
2009-08,67.6,
2009-09,84.7,
2009-10,77.3,
2009-11,85.4,
2009-12,85.6,
2010-01,82.3,
2010-02,85.5,
2010-03,100.1,
2010-04,93.2,
2010-05,95.7,
2010-06,108.7,
2010-07,97.3,
2010-08,94.7,
2010-09,103.8,
2010-10,101.0,
2010-11,118.8,
2010-12,113.6,
2011-01,109.1,
2011-02,114.3,
2011-03,117.7,
2011-04,110.5,
2011-05,105.8,
2011-06,130.9,
2011-07,107.4,
2011-08,98.0,
2011-09,107.4,
2011-10,112.3,
2011-11,108.3,
2011-12,115.5,
2012-01,101.7,
2012-02,107.2,
2012-03,126.2,
2012-04,108.7,
2012-05,110.9,
2012-06,118.1,
2012-07,108.9,
2012-08,98.2,
2012-09,109.7,
2012-10,115.6,
2012-11,113.9,
2012-12,119.6,
2013-01,107.1,
2013-02,113.0,
2013-03,127.4,
2013-04,111.4,
2013-05,112.3,
2013-06,134.4,
2013-07,113.1,
2013-08,101.2,
2013-09,124.8,
2013-10,117.7,
2013-11,124.7,
2013-12,134.5,
2014-01,118.2,
2014-02,122.3,
2014-03,126.5,
2014-04,121.4,
2014-05,121.6,
2014-06,124.9,
2014-07,128.3,
2014-08,104.1,
2014-09,125.7,
2014-10,122.8,
2014-11,128.5,
2014-12,141.6,Provisional value
