"",BBSF2.M.1.S.I0122.REN01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.REN01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net asset value / Domestic credit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:46,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,8257,
1993-05,8362,
1993-06,8607,
1993-07,8829,
1993-08,9232,
1993-09,9490,
1993-10,9610,
1993-11,9913,
1993-12,9991,
1994-01,10169,
1994-02,10211,
1994-03,10431,
1994-04,10715,
1994-05,11027,
1994-06,11113,
1994-07,11757,
1994-08,12063,
1994-09,12186,
1994-10,12280,
1994-11,12605,
1994-12,12733,
1995-01,13003,
1995-02,13267,
1995-03,14195,
1995-04,14425,
1995-05,14762,
1995-06,14790,
1995-07,15871,
1995-08,16265,
1995-09,16766,
1995-10,16953,
1995-11,17121,
1995-12,17555,
1996-01,18263,
1996-02,18267,
1996-03,18765,
1996-04,19160,
1996-05,19533,
1996-06,19775,
1996-07,20374,
1996-08,20670,
1996-09,20898,
1996-10,21715,
1996-11,21980,
1996-12,22437,
1997-01,23097,
1997-02,23917,
1997-03,24532,
1997-04,25404,
1997-05,25710,
1997-06,26296,
1997-07,26715,
1997-08,26866,
1997-09,27707,
1997-10,27636,
1997-11,28146,
1997-12,29226,
1998-01,30301,
1998-02,31131,
1998-03,31822,
1998-04,32047,
1998-05,32796,
1998-06,33219,
1998-07,33949,
1998-08,34437,
1998-09,34994,
1998-10,35796,
1998-11,36125,
1998-12,36716,
1999-01,37601,
1999-02,38022,
1999-03,37410,
1999-04,39252,
1999-05,40012,
1999-06,38532,
1999-07,37933,
1999-08,38207,
1999-09,38000,
1999-10,38266,
1999-11,39799,
1999-12,43602,
2000-01,43574,
2000-02,44008,
2000-03,41856,
2000-04,41869,
2000-05,42108,
2000-06,42189,
2000-07,42541,
2000-08,43197,
2000-09,43305,
2000-10,43823,
2000-11,44248,
2000-12,44362,
2001-01,45258,
2001-02,45316,
2001-03,45611,
2001-04,46061,
2001-05,44562,
2001-06,45232,
2001-07,45478,
2001-08,45882,
2001-09,46135,
2001-10,47122,
2001-11,47068,
2001-12,49019,
2002-01,48591,
2002-02,48955,
2002-03,48095,
2002-04,48901,
2002-05,51147,
2002-06,50202,
2002-07,50812,
2002-08,51546,
2002-09,52759,
2002-10,53136,
2002-11,53571,
2002-12,54191,
2003-01,54555,
2003-02,55820,
2003-03,55382,
2003-04,55886,
2003-05,57071,
2003-06,57865,
2003-07,57400,
2003-08,57821,
2003-09,58140,
2003-10,54001,
2003-11,53268,
2003-12,49754,
2004-01,50490,
2004-02,49581,
2004-03,49638,
2004-04,50321,
2004-05,48915,
2004-06,48597,
2004-07,48644,
2004-08,49000,
2004-09,48367,
2004-10,48238,
2004-11,48555,
2004-12,48630,
2005-01,49291,
2005-02,48580,
2005-03,47020,
2005-04,47345,
2005-05,47869,
2005-06,47898,
2005-07,48212,
2005-08,48762,
2005-09,48496,
2005-10,47508,
2005-11,46552,
2005-12,46069,
2006-01,41440,
2006-02,40786,
2006-03,39925,
2006-04,40371,
2006-05,40454,
2006-06,40518,
2006-07,40620,
2006-08,41084,
2006-09,41731,
2006-10,41671,
2006-11,41959,
2006-12,41502,
2007-01,41598,
2007-02,41814,
2007-03,41828,
2007-04,41643,
2007-05,39086,
2007-06,39042,
2007-07,39234,
2007-08,38764,
2007-09,39784,
2007-10,39092,
2007-11,38994,
2007-12,38101,
2008-01,38222,
2008-02,38116,
2008-03,37953,
2008-04,37815,
2008-05,37673,
2008-06,36394,
2008-07,36043,
2008-08,36327,
2008-09,35745,
2008-10,34956,
2008-11,35234,
2008-12,34986,
2009-01,34552,
2009-02,34098,
2009-03,33748,
2009-04,33644,
2009-05,33077,
2009-06,32834,
2009-07,35160,
2009-08,35379,
2009-09,35721,
2009-10,35764,
2009-11,35926,
2009-12,35481,
2010-01,35531,
2010-02,36315,
2010-03,36588,
2010-04,36508,
2010-05,36259,
2010-06,35951,
2010-07,35628,
2010-08,36263,
2010-09,35990,
2010-10,36013,
2010-11,36007,
2010-12,35537,
2011-01,35183,
2011-02,35101,
2011-03,34353,
2011-04,33977,
2011-05,33912,
2011-06,33789,
2011-07,33888,
2011-08,33795,
2011-09,33190,
2011-10,33252,
2011-11,32276,
2011-12,32361,
2012-01,32328,
2012-02,32626,
2012-03,32270,
2012-04,32510,
2012-05,32591,
2012-06,32787,
2012-07,33029,
2012-08,33896,
2012-09,34083,
2012-10,33874,
2012-11,33754,
2012-12,33774,
2013-01,34018,
2013-02,32330,
2013-03,32845,
2013-04,33148,
2013-05,33129,
2013-06,32978,
2013-07,33306,
2013-08,33254,
2013-09,33149,
2013-10,33598,
2013-11,33269,
2013-12,32802,
2014-01,33209,
2014-02,33491,
2014-03,33422,
2014-04,33303,
2014-05,33160,
2014-06,33115,
2014-07,33098,
2014-08,33442,
2014-09,33073,
2014-10,33066,
2014-11,33398,
