"",BBK01.OEYJ02N,BBK01.OEYJ02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:37,
2002-01,5.538,
2002-04,6.418,
2002-07,5.121,
2002-10,5.226,
2003-01,6.206,
2003-04,6.589,
2003-07,8.028,
2003-10,6.438,
2004-01,7.776,
2004-04,5.283,
2004-07,6.255,
2004-10,5.101,
2005-01,6.307,
2005-04,5.598,
2005-07,3.877,
2005-10,5.707,
2006-01,6.188,
2006-04,6.664,
2006-07,5.532,
2006-10,6.370,
2007-01,6.571,
2007-04,6.314,
2007-07,5.779,
2007-10,5.645,
2008-01,6.554,
2008-04,5.284,
2008-07,5.138,
2008-10,6.910,
2009-01,7.568,
2009-04,6.828,
2009-07,5.716,
2009-10,6.894,
2010-01,7.074,
2010-04,16.121,
2010-07,9.730,
2010-10,5.720,
2011-01,5.397,
2011-04,7.561,
2011-07,5.189,
2011-10,6.883,
2012-01,6.470,
2012-04,5.821,
2012-07,5.279,
2012-10,5.131,
2013-01,4.968,
2013-04,6.016,
2013-07,4.883,
2013-10,5.103,
2014-01,5.036,
2014-04,3.064,
2014-07,3.515,
