"",BBK01.DQ7516,BBK01.DQ7516_FLAGS
"","Pay rates, production sector (incl. construction), on an hourly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:08,
1991-01,45.3,
1991-04,48.2,
1991-07,55.5,
1991-10,58.6,
1992-01,49.4,
1992-04,54.0,
1992-07,63.0,
1992-10,67.3,
1993-01,55.6,
1993-04,58.1,
1993-07,68.3,
1993-10,73.0,
1994-01,59.7,
1994-04,60.4,
1994-07,70.4,
1994-10,75.1,
1995-01,63.4,
1995-04,64.3,
1995-07,74.5,
1995-10,80.8,
1996-01,66.3,
1996-04,66.8,
1996-07,77.9,
1996-10,82.8,
1997-01,68.3,
1997-04,68.4,
1997-07,79.4,
1997-10,83.4,
1998-01,68.8,
1998-04,70.0,
1998-07,81.2,
1998-10,85.3,
1999-01,71.6,
1999-04,72.4,
1999-07,83.8,
1999-10,87.4,
2000-01,72.8,
2000-04,73.8,
2000-07,85.6,
2000-10,89.4,
2001-01,74.0,
2001-04,74.9,
2001-07,87.3,
2001-10,91.2,
2002-01,75.5,
2002-04,77.3,
2002-07,90.3,
2002-10,94.0,
2003-01,77.7,
2003-04,79.3,
2003-07,92.4,
2003-10,96.1,
2004-01,80.1,
2004-04,80.3,
2004-07,93.3,
2004-10,98.0,
2005-01,81.4,
2005-04,81.3,
2005-07,94.8,
2005-10,99.5,
2006-01,82.9,
2006-04,83.3,
2006-07,96.4,
2006-10,101.7,
2007-01,82.8,
2007-04,86.5,
2007-07,99.0,
2007-10,103.7,
2008-01,85.5,
2008-04,87.0,
2008-07,101.8,
2008-10,109.1,
2009-01,88.0,
2009-04,89.9,
2009-07,105.0,
2009-10,109.7,
2010-01,90.5,
2010-04,92.7,
2010-07,105.2,
2010-10,111.6,
2011-01,91.3,
2011-04,93.4,
2011-07,108.0,
2011-10,113.6,
2012-01,93.8,
2012-04,96.5,
2012-07,111.4,
2012-10,117.6,
2013-01,97.0,
2013-04,98.8,
2013-07,114.8,
2013-10,121.2,
2014-01,100.0,
2014-04,102.4,
2014-07,117.6,
2014-10,124.3,
