"",BBK01.OEAF03K,BBK01.OEAF03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:58,
2002-01,34.306,
2002-04,34.261,
2002-07,34.774,
2002-10,34.802,
2003-01,34.026,
2003-04,29.674,
2003-07,29.884,
2003-10,29.896,
2004-01,30.155,
2004-04,31.726,
2004-07,31.811,
2004-10,31.702,
2005-01,31.968,
2005-04,32.028,
2005-07,31.973,
2005-10,31.918,
2006-01,31.614,
2006-04,31.389,
2006-07,30.925,
2006-10,30.736,
2007-01,29.663,
2007-04,29.274,
2007-07,28.217,
2007-10,27.699,
2008-01,27.183,
2008-04,26.821,
2008-07,26.439,
2008-10,25.671,
2009-01,25.065,
2009-04,25.896,
2009-07,25.810,
2009-10,24.999,
2010-01,24.484,
2010-04,24.700,
2010-07,24.065,
2010-10,24.000,
2011-01,23.383,
2011-04,23.138,
2011-07,22.963,
2011-10,22.696,
2012-01,22.451,
2012-04,22.341,
2012-07,22.106,
2012-10,21.961,
2013-01,21.711,
2013-04,21.630,
2013-07,21.197,
2013-10,20.879,
2014-01,20.774,
2014-04,20.499,
2014-07,21.076,
