"",BBFB1.M.N.DE.W1.S1.S1.T.B.G___FT._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.G___FT._Z._Z._Z._T._X.N_FLAGS
"",Current account / Foreign trade / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:46,
1991-01,729.162,
1991-02,1440.797,
1991-03,1473.908,
1991-04,-535.907,
1991-05,-345.695,
1991-06,240.759,
1991-07,128.220,
1991-08,1597.494,
1991-09,836.796,
1991-10,1156.317,
1991-11,1835.208,
1991-12,2639.769,
1992-01,123.328,
1992-02,1167.451,
1992-03,2580.675,
1992-04,1247.072,
1992-05,648.681,
1992-06,1048.287,
1992-07,656.035,
1992-08,2922.073,
1992-09,2887.197,
1992-10,2827.793,
1992-11,879.261,
1992-12,220.428,
1993-01,1327.314,
1993-02,2997.704,
1993-03,3225.740,
1993-04,1559.952,
1993-05,2585.092,
1993-06,3412.362,
1993-07,1827.868,
1993-08,1594.719,
1993-09,2369.838,
1993-10,3520.756,
1993-11,2835.625,
1993-12,3575.975,
1994-01,2595.318,
1994-02,2552.880,
1994-03,2726.720,
1994-04,3272.268,
1994-05,3247.726,
1994-06,4929.876,
1994-07,1744.528,
1994-08,3791.741,
1994-09,2741.547,
1994-10,3243.124,
1994-11,3549.900,
1994-12,2295.701,
1995-01,4263.803,
1995-02,2953.208,
1995-03,2509.034,
1995-04,3483.281,
1995-05,4076.981,
1995-06,3970.214,
1995-07,2604.578,
1995-08,3526.716,
1995-09,3912.307,
1995-10,3959.061,
1995-11,5097.613,
1995-12,3257.854,
1996-01,2576.700,
1996-02,4436.846,
1996-03,3184.691,
1996-04,3926.844,
1996-05,4659.170,
1996-06,3295.077,
1996-07,5433.353,
1996-08,3974.591,
1996-09,4076.106,
1996-10,5828.136,
1996-11,5416.962,
1996-12,3573.138,
1997-01,2229.648,
1997-02,4143.680,
1997-03,4603.832,
1997-04,4965.070,
1997-05,4306.920,
1997-06,6059.676,
1997-07,5575.396,
1997-08,3836.170,
1997-09,6903.064,
1997-10,5007.719,
1997-11,5822.497,
1997-12,6094.777,
1998-01,2656.934,
1998-02,5701.183,
1998-03,6170.273,
1998-04,5303.837,
1998-05,6832.902,
1998-06,5422.862,
1998-07,6798.932,
1998-08,4003.218,
1998-09,5535.404,
1998-10,5990.252,
1998-11,7688.021,
1998-12,2815.052,
1999-01,4169.853,
1999-02,5521.457,
1999-03,5628.061,
1999-04,5632.139,
1999-05,3248.856,
1999-06,6813.431,
1999-07,7102.901,
1999-08,3024.885,
1999-09,5545.083,
1999-10,5637.199,
1999-11,7805.436,
1999-12,5081.687,
2000-01,3120.092,
2000-02,7121.099,
2000-03,6130.734,
2000-04,5296.171,
2000-05,4502.583,
2000-06,6607.162,
2000-07,5942.701,
2000-08,2919.750,
2000-09,4254.006,
2000-10,6793.901,
2000-11,4764.752,
2000-12,1675.377,
2001-01,5662.480,
2001-02,7170.917,
2001-03,9706.850,
2001-04,6165.720,
2001-05,8211.508,
2001-06,7727.260,
2001-07,9440.607,
2001-08,9037.641,
2001-09,7069.006,
2001-10,9660.938,
2001-11,7351.326,
2001-12,8290.443,
2002-01,10525.532,
2002-02,10557.915,
2002-03,12244.571,
2002-04,10015.269,
2002-05,10407.497,
2002-06,11298.628,
2002-07,13223.633,
2002-08,10477.318,
2002-09,11842.332,
2002-10,11529.440,
2002-11,12282.596,
2002-12,8383.155,
2003-01,9269.230,
2003-02,10667.148,
2003-03,9898.460,
2003-04,9110.766,
2003-05,10399.565,
2003-06,10330.376,
2003-07,13844.400,
2003-08,10169.692,
2003-09,14416.090,
2003-10,10995.956,
2003-11,10234.776,
2003-12,10584.084,
2004-01,12498.146,
2004-02,12272.620,
2004-03,16588.240,
2004-04,14371.298,
2004-05,14140.342,
2004-06,14791.114,
2004-07,13571.677,
2004-08,10916.914,
2004-09,11947.034,
2004-10,12386.533,
2004-11,11763.366,
2004-12,10848.454,
2005-01,13312.068,
2005-02,13615.579,
2005-03,16267.869,
2005-04,12407.300,
2005-05,11965.937,
2005-06,16296.359,
2005-07,13545.364,
2005-08,12235.110,
2005-09,14914.721,
2005-10,11787.971,
2005-11,12950.628,
2005-12,8880.212,
2006-01,12366.505,
2006-02,12824.692,
2006-03,14372.855,
2006-04,10772.342,
2006-05,12078.972,
2006-06,12022.028,
2006-07,12526.855,
2006-08,10943.461,
2006-09,15248.028,
2006-10,16961.742,
2006-11,18132.990,
2006-12,10797.579,
2007-01,16177.142,
2007-02,13951.988,
2007-03,18109.939,
2007-04,14818.144,
2007-05,16888.858,
2007-06,16476.187,
2007-07,17780.017,
2007-08,14182.749,
2007-09,18217.753,
2007-10,18850.843,
2007-11,19422.586,
2007-12,10471.889,
2008-01,17062.840,
2008-02,17103.358,
2008-03,16767.781,
2008-04,19035.014,
2008-05,14370.926,
2008-06,19760.876,
2008-07,14138.655,
2008-08,10812.816,
2008-09,15273.356,
2008-10,16665.802,
2008-11,9967.350,
2008-12,7338.554,
2009-01,7404.473,
2009-02,8770.486,
2009-03,11400.845,
2009-04,10066.017,
2009-05,10327.075,
2009-06,13725.949,
2009-07,15591.720,
2009-08,8998.675,
2009-09,11501.365,
2009-10,12466.101,
2009-11,15961.857,
2009-12,12482.391,
2010-01,8277.129,
2010-02,13215.415,
2010-03,16243.852,
2010-04,12995.454,
2010-05,10142.549,
2010-06,14110.821,
2010-07,12966.618,
2010-08,9455.547,
2010-09,16472.862,
2010-10,14517.785,
2010-11,13884.195,
2010-12,12580.387,
2011-01,9926.000,
2011-02,12090.035,
2011-03,18885.818,
2011-04,10835.271,
2011-05,14833.403,
2011-06,12893.388,
2011-07,10554.925,
2011-08,11739.914,
2011-09,17313.862,
2011-10,11000.127,
2011-11,16109.655,
2011-12,12520.059,
2012-01,13535.776,
2012-02,15417.693,
2012-03,17275.296,
2012-04,14357.599,
2012-05,15702.151,
2012-06,17998.127,
2012-07,17169.212,
2012-08,16746.650,
2012-09,16858.735,
2012-10,15966.654,
2012-11,16872.208,
2012-12,11940.828,
2013-01,13417.146,
2013-02,16414.091,
2013-03,18512.763,
2013-04,17849.174,
2013-05,13460.240,
2013-06,16849.960,
2013-07,16088.610,
2013-08,13110.722,
2013-09,20059.607,
2013-10,17757.639,
2013-11,17810.751,
2013-12,13619.443,
2014-01,14701.000,
2014-02,16209.000,
2014-03,16739.000,
2014-04,17270.000,
2014-05,17525.000,
2014-06,16208.000,
2014-07,23469.000,
2014-08,13877.000,
2014-09,22017.000,
2014-10,22064.000,
2014-11,17883.000,
2014-12,19050.000,Provisional value
