"",BBEX3.M.NOK.USD.CA.AB.A02,BBEX3.M.NOK.USD.CA.AB.A02_FLAGS
"",Exchange rates for the US dollar in Norway / USD 1 = NOK ... (selling),
unit,NOK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:48,
1972-01,6.7107,
1972-02,6.6582,
1972-03,6.6019,
1972-04,6.6068,
1972-05,6.5782,
1972-06,6.5442,
1972-07,6.5185,
1972-08,6.5278,
1972-09,6.5780,
1972-10,6.6089,
1972-11,6.6109,
1972-12,6.5879,
1973-01,6.6189,
1973-02,6.2349,
1973-03,5.9189,
1973-04,5.9232,
1973-05,5.8286,
1973-06,5.5212,
1973-07,5.2864,
1973-08,5.5213,
1973-09,5.5495,
1973-10,5.4823,
1973-11,5.6214,
1973-12,5.6694,
1974-01,5.9790,
1974-02,5.7855,
1974-03,5.6599,
1974-04,5.5055,
1974-05,5.3348,
1974-06,5.4413,
1974-07,5.4141,
1974-08,5.4898,
1974-09,5.5680,
1974-10,5.5205,
1974-11,5.4512,
1974-12,5.3275,
1975-01,5.1209,
1975-02,5.0246,
1975-03,4.9231,
1975-04,5.0002,
1975-05,4.9582,
1975-06,4.9150,
1975-07,5.2013,
1975-08,5.4768,
1975-09,5.6113,
1975-10,5.5387,
1975-11,5.5274,
1975-12,5.5713,
1976-01,5.5677,
1976-02,5.5355,
1976-03,5.5605,
1976-04,5.5068,
1976-05,5.5016,
1976-06,5.5601,
1976-07,5.5978,
1976-08,5.5198,
1976-09,5.4447,
1976-10,5.3299,
1976-11,5.2817,
1976-12,5.2235,
1977-01,5.2837,
1977-02,5.3004,
1977-03,5.2632,
1977-04,5.2941,
1977-05,5.2839,
1977-06,5.2973,
1977-07,5.2690,
1977-08,5.3118,
1977-09,5.4964,
1977-10,5.4965,
1977-11,5.4637,
1977-12,5.2576,
1978-01,5.1617,
1978-02,5.2765,
1978-03,5.3348,
1978-04,5.3750,
1978-05,5.4602,
1978-06,5.4143,
1978-07,5.4052,
1978-08,5.2665,
1978-09,5.2227,
1978-10,4.9415,
1978-11,5.0709,
1978-12,5.1072,
1979-01,5.0761,
1979-02,5.1057,
1979-03,5.1085,
1979-04,5.1530,
1979-05,5.1992,
1979-06,5.1683,
1979-07,5.0534,
1979-08,5.0414,
1979-09,4.9941,
1979-10,4.9787,
1979-11,5.0355,
1979-12,4.9885,
1980-01,4.9219,
1980-02,4.8934,
1980-03,5.0580,
1980-04,5.0699,
1980-05,4.9229,
1980-06,4.8677,
1980-07,4.8293,
1980-08,4.8779,
1980-09,4.8486,
1980-10,4.9064,
1980-11,5.0260,
1980-12,5.1798,
1981-01,5.2449,
1981-02,5.4281,
1981-03,5.4084,
1981-04,5.4783,
1981-05,5.6786,
1981-06,5.9186,
1981-07,6.1090,
1981-08,6.1922,
1981-09,5.9846,
1981-10,5.9242,
1981-11,5.8290,
1981-12,5.8022,
1982-01,5.8736,
1982-02,5.9785,
1982-03,6.0368,
1982-04,6.0926,
1982-05,5.9752,
1982-06,6.1987,
1982-07,6.3627,
1982-08,6.6893,
1982-09,6.9058,
1982-10,7.1793,
1982-11,7.2558,
1982-12,7.0378,
1983-01,7.0555,
1983-02,7.1233,
1983-03,7.1840,
1983-04,7.1476,
1983-05,7.1226,
1983-06,7.2720,
1983-07,7.3340,
1983-08,7.4739,
1983-09,7.4372,
1983-10,7.3316,
1983-11,7.4751,
1983-12,7.7283,
1984-01,7.8776,
1984-02,7.7125,
1984-03,7.5098,
1984-04,7.6020,
1984-05,7.8252,
1984-06,7.8292,
1984-07,8.2164,
1984-08,8.3119,
1984-09,8.6202,
1984-10,8.8805,
1984-11,8.7153,
1984-12,8.9861,
1985-01,9.1816,
1985-02,9.4597,
1985-03,9.4920,
1985-04,8.9102,
1985-05,8.9751,
1985-06,8.8288,
1985-07,8.4629,
1985-08,8.2454,
1985-09,8.3517,
1985-10,7.9194,
1985-11,7.8110,
1985-12,7.6611,
1986-01,7.5610,
1986-02,7.2970,
1986-03,7.1374,
1986-04,7.1658,
1986-05,7.4517,
1986-06,7.6244,
1986-07,7.4824,
1986-08,7.3646,
1986-09,7.3464,
1986-10,7.3596,
1986-11,7.5426,
1986-12,7.5394,
1987-01,7.1830,
1987-02,7.0188,
1987-03,6.9376,
1987-04,6.7816,
1987-05,6.6616,
1987-06,6.7234,
1987-07,6.7659,
1987-08,6.8025,
1987-09,6.6552,
1987-10,6.6383,
1987-11,6.4271,
1987-12,6.3864,
1988-01,6.3557,
1988-02,6.4249,
1988-03,6.3474,
1988-04,6.2186,
1988-05,6.1948,
1988-06,6.3876,
1988-07,6.7184,
1988-08,6.9019,
1988-09,6.9204,
1988-10,6.7636,
1988-11,6.5814,
1988-12,6.5211,
1989-01,6.6738,
1989-02,6.7278,
1989-03,6.8012,
1989-04,6.8010,
1989-05,7.0613,
1989-06,7.1962,
1989-07,6.9627,
1989-08,7.0518,
1989-09,7.1340,
1989-10,6.9530,
1989-11,6.9077,
1989-12,6.7156,
1990-01,6.5515,
1990-02,6.4819,
1990-03,6.6003,
1990-04,6.5616,
1990-05,6.4554,
1990-06,6.4839,
1990-07,6.3144,
1990-08,6.0955,
1990-09,6.0852,
1990-10,5.9313,
1990-11,5.8160,
1990-12,5.8720,
1991-01,5.9170,
1991-02,5.7980,
1991-03,6.2355,
1991-04,6.6347,
1991-05,6.6897,
1991-06,6.9712,
1991-07,6.9888,
1991-08,6.8297,
1991-09,6.6563,
1991-10,6.6336,
1991-11,6.3887,
1991-12,6.1804,
1992-01,6.2066,
1992-02,6.3613,
1992-03,6.5299,
1992-04,6.4652,
1992-05,6.3329,
1992-06,6.1658,
1992-07,5.8649,
1992-08,5.7357,
1992-09,5.8074,
1992-10,6.0481,
1992-11,6.4790,
1992-12,6.6949,comment
1993-01,6.8884,
1993-02,6.9909,
1993-03,7.0152,
1993-04,6.7760,
1993-05,6.8051,
1993-06,6.9922,
1993-07,7.3187,
1993-08,7.3758,
1993-09,7.0928,
1993-10,7.1752,
1993-11,7.4011,
1993-12,7.4307,
1994-01,7.5219,
1994-02,7.5059,
1994-03,7.3601,
1994-04,7.3761,
1994-05,7.1943,
1994-06,7.0900,
1994-07,6.8781,
1994-08,6.8733,
1994-09,6.8146,
1994-10,6.6327,
1994-11,6.7375,
1994-12,6.8662,
1995-01,6.7124,
1995-02,6.6053,
1995-03,6.2801,
1995-04,6.1991,
1995-05,6.2963,
1995-06,6.2474,
1995-07,6.1841,
1995-08,6.3487,
1995-09,6.4101,
1995-10,6.2487,
1995-11,6.2581,
1995-12,6.3631,
1996-01,6.4270,
1996-02,6.4160,
1996-03,6.4388,
1996-04,6.5106,
1996-05,6.5868,
1996-06,6.5422,
1996-07,6.4613,
1996-08,6.4201,
1996-09,6.4667,
1996-10,6.4954,
1996-11,6.3631,
1996-12,6.4768,
1997-01,6.4585,
1997-02,6.6346,
1997-03,6.8288,
1997-04,6.9765,
1997-05,7.0722,
1997-06,7.2151,
1997-07,7.4425,
1997-08,7.6396,
1997-09,7.3267,
1997-10,7.0863,
1997-11,7.0654,
1997-12,7.2611,
1998-01,7.4985,
1998-02,7.5656,
1998-03,7.5883,
1998-04,7.5372,
1998-05,7.4551,
1998-06,7.5838,
1998-07,7.6337,
1998-08,7.7246,
1998-09,7.5941,
1998-10,7.4380,
1998-11,7.4641,
1998-12,7.5988,
1999-01,7.4557,
1999-02,7.7197,
1999-03,7.8309,
1999-04,7.7799,
1999-05,7.7606,
1999-06,7.8756,
1999-07,7.9128,
1999-08,7.8001,
1999-09,7.8409,
1999-10,7.7423,
1999-11,7.9292,
1999-12,8.0129,
2000-01,8.0138,
2000-02,8.2408,
2000-03,8.4102,
2000-04,8.5993,
2000-05,9.0547,
2000-06,8.6860,
2000-07,8.7015,
2000-08,8.9516,
