"",BBK01.OEYJ05V,BBK01.OEYJ05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:06:00,
2002-01,3.751,
2002-04,3.782,
2002-07,3.771,
2002-10,3.829,
2003-01,3.912,
2003-04,4.051,
2003-07,4.063,
2003-10,4.106,
2004-01,4.124,
2004-04,4.773,
2004-07,4.762,
2004-10,4.791,
2005-01,4.770,
2005-04,4.714,
2005-07,5.546,
2005-10,5.551,
2006-01,5.433,
2006-04,5.532,
2006-07,5.534,
2006-10,5.477,
2007-01,5.528,
2007-04,5.516,
2007-07,5.446,
2007-10,5.415,
2008-01,5.509,
2008-04,0.820,
2008-07,0.784,
2008-10,0.821,
2009-01,0.868,
2009-04,0.931,
2009-07,0.930,
2009-10,1.010,
2010-01,1.080,
2010-04,1.109,
2010-07,1.118,
2010-10,1.153,
2011-01,1.137,
2011-04,1.163,
2011-07,1.435,
2011-10,1.454,
2012-01,1.467,
2012-04,1.481,
2012-07,1.436,
2012-10,1.397,
2013-01,1.467,
2013-04,1.509,
2013-07,1.411,
2013-10,1.409,
2014-01,1.422,
2014-04,1.427,
2014-07,1.426,
