"",BBK01.OEAA15N,BBK01.OEAA15N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:06,
2002-01,383.962,
2002-04,388.825,
2002-07,391.243,
2002-10,391.956,
2003-01,385.084,
2003-04,382.885,
2003-07,385.778,
2003-10,376.675,
2004-01,379.211,
2004-04,381.717,
2004-07,385.660,
2004-10,350.252,
2005-01,359.927,
2005-04,362.882,
2005-07,365.904,
2005-10,369.623,
2006-01,387.482,
2006-04,389.692,
2006-07,392.598,
2006-10,395.129,
2007-01,392.962,
2007-04,395.787,
2007-07,398.193,
2007-10,400.246,
2008-01,399.301,
2008-04,405.633,
2008-07,390.749,
2008-10,393.008,
2009-01,392.489,
2009-04,398.135,
2009-07,401.457,
2009-10,404.681,
2010-01,405.891,
2010-04,408.263,
2010-07,410.638,
2010-10,413.810,
2011-01,414.638,
2011-04,416.037,
2011-07,418.312,
2011-10,420.505,
2012-01,421.327,
2012-04,407.018,
2012-07,410.137,
2012-10,412.167,
2013-01,411.595,
2013-04,413.202,
2013-07,411.933,
2013-10,413.298,
2014-01,414.321,
2014-04,415.684,
2014-07,418.157,
