"",BBK01.OECM01H,BBK01.OECM01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:22,
2002-01,2.481,
2002-04,2.268,
2002-07,2.601,
2002-10,1.947,
2003-01,1.746,
2003-04,1.965,
2003-07,1.845,
2003-10,1.618,
2004-01,2.266,
2004-04,1.984,
2004-07,1.946,
2004-10,1.812,
2005-01,2.161,
2005-04,2.191,
2005-07,2.507,
2005-10,2.510,
2006-01,2.212,
2006-04,2.583,
2006-07,3.717,
2006-10,4.378,
2007-01,4.365,
2007-04,5.082,
2007-07,7.927,
2007-10,10.813,
2008-01,7.686,
2008-04,8.928,
2008-07,9.116,
2008-10,11.199,
2009-01,8.921,
2009-04,8.346,
2009-07,5.493,
2009-10,3.852,
2010-01,5.004,
2010-04,3.717,
2010-07,6.127,
2010-10,6.874,
2011-01,6.501,
2011-04,11.230,
2011-07,7.337,
2011-10,6.416,
2012-01,8.145,
2012-04,12.724,
2012-07,10.762,
2012-10,8.578,
2013-01,10.655,
2013-04,10.610,
2013-07,11.091,
2013-10,10.004,
2014-01,11.109,
2014-04,11.277,
2014-07,9.920,
