"",BBK01.OECB11K,BBK01.OECB11K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:21,
2002-01,0.568,
2002-04,0.639,
2002-07,0.636,
2002-10,0.455,
2003-01,0.509,
2003-04,0.565,
2003-07,0.605,
2003-10,0.758,
2004-01,1.537,
2004-04,1.130,
2004-07,1.371,
2004-10,2.097,
2005-01,1.652,
2005-04,1.671,
2005-07,1.666,
2005-10,1.618,
2006-01,1.628,
2006-04,1.371,
2006-07,1.117,
2006-10,1.139,
2007-01,1.012,
2007-04,0.958,
2007-07,1.127,
2007-10,1.190,
2008-01,1.310,
2008-04,1.466,
2008-07,1.489,
2008-10,1.373,
2009-01,1.183,
2009-04,1.463,
2009-07,1.421,
2009-10,1.543,
2010-01,1.469,
2010-04,1.696,
2010-07,1.621,
2010-10,1.343,
2011-01,1.420,
2011-04,1.389,
2011-07,1.940,
2011-10,1.703,
2012-01,1.443,
2012-04,1.617,
2012-07,1.452,
2012-10,1.355,
2013-01,1.564,
2013-04,1.659,
2013-07,1.082,
2013-10,1.103,
2014-01,1.170,
2014-04,1.474,
2014-07,1.408,
