"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.JP.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.JP.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Japan,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:12,
2009-09,1507,
2009-10,1382,
2009-11,1492,
2009-12,1534,
2010-01,1662,
2010-02,1695,
2010-03,1605,
2010-04,1538,
2010-05,1612,
2010-06,1616,
2010-07,1574,
2010-08,1623,
2010-09,1723,
2010-10,1709,
2010-11,1724,
2010-12,1694,
2011-01,1641,
2011-02,1681,
2011-03,1341,
2011-04,1290,
2011-05,1173,
2011-06,1196,
2011-07,1273,
2011-08,1250,
2011-09,1289,
2011-10,1277,
2011-11,1402,
2011-12,1421,
2012-01,1445,
2012-02,1325,
2012-03,1319,
2012-04,1388,
2012-05,1429,
2012-06,1355,
2012-07,1431,
2012-08,1386,
2012-09,1363,
2012-10,1331,
2012-11,1262,
2012-12,1225,
2013-01,1042,
2013-02,1125,
2013-03,1193,
2013-04,1243,
2013-05,1181,
2013-06,1212,
2013-07,1278,
2013-08,1243,
2013-09,1323,
2013-10,1307,
2013-11,1197,
2013-12,1302,
2014-01,1372,
2014-02,1357,
2014-03,1388,
2014-04,1425,
2014-05,1428,
2014-06,1414,
2014-07,1430,
2014-08,1389,
2014-09,1479,
2014-10,1480,
2014-11,1556,
