"",BBSF2.M.1.T.00000.REN01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.REN01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Bonds funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:26,
2009-09,3997,
2009-10,5060,
2009-11,5660,
2009-12,10520,
2010-01,7155,
2010-02,5239,
2010-03,5293,
2010-04,4989,
2010-05,4150,
2010-06,4803,
2010-07,4100,
2010-08,3866,
2010-09,4544,
2010-10,6876,
2010-11,6271,
2010-12,6741,
2011-01,6230,
2011-02,6369,
2011-03,2768,
2011-04,3384,
2011-05,2233,
2011-06,3200,
2011-07,2402,
2011-08,3835,
2011-09,6524,
2011-10,4428,
2011-11,5281,
2011-12,10088,
2012-01,9217,
2012-02,6048,
2012-03,5960,
2012-04,2660,
2012-05,4734,
2012-06,6825,
2012-07,6472,
2012-08,4997,
2012-09,3936,
2012-10,5674,
2012-11,8723,
2012-12,7902,
2013-01,7278,
2013-02,8607,
2013-03,5738,
2013-04,4432,
2013-05,4969,
2013-06,5792,
2013-07,5081,
2013-08,2457,
2013-09,4154,
2013-10,6834,
2013-11,14053,
2013-12,8175,
2014-01,6270,
2014-02,6779,
2014-03,10879,
2014-04,3522,
2014-05,6266,
2014-06,5875,
2014-07,6394,
2014-08,4910,
2014-09,5609,
2014-10,7324,
2014-11,7464,
