"",BBK01.OEBI08M,BBK01.OEBI08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:01,
2002-01,3.618,
2002-04,3.313,
2002-07,3.259,
2002-10,3.547,
2003-01,3.692,
2003-04,3.700,
2003-07,3.852,
2003-10,3.874,
2004-01,3.778,
2004-04,3.740,
2004-07,3.985,
2004-10,4.110,
2005-01,7.425,
2005-04,7.386,
2005-07,7.297,
2005-10,7.310,
2006-01,7.211,
2006-04,7.074,
2006-07,6.886,
2006-10,6.832,
2007-01,6.833,
2007-04,6.694,
2007-07,6.480,
2007-10,6.554,
2008-01,6.479,
2008-04,6.614,
2008-07,6.238,
2008-10,6.290,
2009-01,6.479,
2009-04,6.816,
2009-07,7.207,
2009-10,7.638,
2010-01,7.763,
2010-04,7.681,
2010-07,7.719,
2010-10,7.773,
2011-01,7.863,
2011-04,7.817,
2011-07,7.767,
2011-10,7.769,
2012-01,8.441,
2012-04,8.408,
2012-07,8.417,
2012-10,8.664,
2013-01,8.590,
2013-04,8.523,
2013-07,8.359,
2013-10,8.374,
2014-01,8.306,
2014-04,8.153,
2014-07,8.224,
