"",BBK01.OEAB08O,BBK01.OEAB08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:39,
2002-01,49.425,
2002-04,50.120,
2002-07,50.854,
2002-10,52.224,
2003-01,52.293,
2003-04,52.267,
2003-07,47.888,
2003-10,52.682,
2004-01,52.427,
2004-04,52.588,
2004-07,51.944,
2004-10,54.530,
2005-01,90.073,
2005-04,90.707,
2005-07,91.395,
2005-10,91.763,
2006-01,91.600,
2006-04,91.732,
2006-07,92.003,
2006-10,92.223,
2007-01,91.717,
2007-04,91.855,
2007-07,91.285,
2007-10,90.559,
2008-01,89.822,
2008-04,89.769,
2008-07,85.481,
2008-10,84.286,
2009-01,84.237,
2009-04,84.364,
2009-07,84.710,
2009-10,85.874,
2010-01,85.179,
2010-04,84.977,
2010-07,85.628,
2010-10,85.501,
2011-01,84.612,
2011-04,84.784,
2011-07,84.956,
2011-10,85.124,
2012-01,85.682,
2012-04,87.174,
2012-07,87.298,
2012-10,87.689,
2013-01,87.594,
2013-04,87.664,
2013-07,92.884,
2013-10,94.096,
2014-01,95.151,
2014-04,95.166,
2014-07,95.519,
