"",BBDA1.M.DE.N.EX.S.A.W100X2.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.W100X2.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Rest of the World excluding European countries / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:38,
2000-05,14014596,
2000-06,13023833,
2000-07,13795013,
2000-08,13771604,
2000-09,13070463,
2000-10,15067434,
2000-11,15012228,
2000-12,13783588,
2001-01,14340364,
2001-02,13285417,
2001-03,15500410,
2001-04,14038809,
2001-05,15469171,
2001-06,14532880,
2001-07,15915536,
2001-08,14921407,
2001-09,13556434,
2001-10,15772745,
2001-11,14555355,
2001-12,13313981,
2002-01,13808889,
2002-02,13679108,
2002-03,15285166,
2002-04,15387290,
2002-05,13903438,
2002-06,15010854,
2002-07,16388060,
2002-08,14895406,
2002-09,15126631,
2002-10,16153664,
2002-11,15631100,
2002-12,13548774,
2003-01,14822213,
2003-02,14109293,
2003-03,13683084,
2003-04,13857165,
2003-05,14662832,
2003-06,13641741,
2003-07,16075384,
2003-08,13558997,
2003-09,15100450,
2003-10,14583399,
2003-11,14367652,
2003-12,13866947,
2004-01,14656888,
2004-02,14384087,
2004-03,16479039,
2004-04,16160741,
2004-05,15564368,
2004-06,16136837,
2004-07,17032909,
2004-08,15031904,
2004-09,15586891,
2004-10,15719787,
2004-11,15716226,
2004-12,16312067,
2005-01,15742851,
2005-02,14784118,
2005-03,16212845,
2005-04,16158516,
2005-05,15803057,
2005-06,17486850,
2005-07,17653638,
2005-08,18116375,
2005-09,18295516,
2005-10,17598479,
2005-11,17640892,
2005-12,17736146,
2006-01,17518497,
2006-02,18540920,
2006-03,19681911,
2006-04,17432376,
2006-05,17967337,
2006-06,17911283,
2006-07,19228635,
2006-08,18900073,
2006-09,21506148,
2006-10,22117831,
2006-11,23499570,
2006-12,19834373,
2007-01,19151930,
2007-02,18691028,
2007-03,19774118,
2007-04,18537986,
2007-05,18648220,
2007-06,19607797,
2007-07,20596009,
2007-08,20697863,
2007-09,20471571,
2007-10,21555248,
2007-11,21252231,
2007-12,18155113,
2008-01,20957211,
2008-02,20656655,
2008-03,19844646,
2008-04,21761872,
2008-05,19331069,
2008-06,21909129,
2008-07,22152787,
2008-08,19584607,
2008-09,21537577,
2008-10,22503717,
2008-11,20006609,
2008-12,18953471,
2009-01,15920937,
2009-02,16677230,
2009-03,18061996,
2009-04,17079484,
2009-05,15829457,
2009-06,18296980,
2009-07,20694131,
2009-08,16800013,
2009-09,18074116,
2009-10,18885271,
2009-11,20226123,
2009-12,19920215,
2010-01,16660793,
2010-02,19572276,
2010-03,24985442,
2010-04,21504706,
2010-05,22078080,
2010-06,24715682,
2010-07,25365813,
2010-08,22638296,
2010-09,25320631,
2010-10,24101894,
2010-11,25720052,
2010-12,23971613,
2011-01,21863983,
2011-02,24091404,
2011-03,27745189,
2011-04,23541394,
2011-05,26586737,
2011-06,24318780,
2011-07,25878157,
2011-08,25666731,
2011-09,26980646,
2011-10,26174829,
2011-11,27637855,
2011-12,27707794,
2012-01,25614341,
2012-02,27471132,
2012-03,30116763,
2012-04,26232037,
2012-05,27760481,
2012-06,29613516,
2012-07,30552255,
