"",BBK01.OEAD04J,BBK01.OEAD04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:16,
2002-01,0.036,
2002-04,0.040,
2002-07,0.040,
2002-10,0.046,
2003-01,0.044,
2003-04,0.041,
2003-07,0.036,
2003-10,0.030,
2004-01,0.030,
2004-04,0.027,
2004-07,0.027,
2004-10,0.029,
2005-01,0.030,
2005-04,0.026,
2005-07,0.024,
2005-10,0.025,
2006-01,0.027,
2006-04,0.029,
2006-07,0.029,
2006-10,0.033,
2007-01,0.032,
2007-04,0.031,
2007-07,0.033,
2007-10,0.035,
2008-01,0.033,
2008-04,0.038,
2008-07,0.036,
2008-10,0.055,
2009-01,0.059,
2009-04,0.048,
2009-07,0.048,
2009-10,0.043,
2010-01,0.024,
2010-04,0.047,
2010-07,0.051,
2010-10,0.054,
2011-01,0.055,
2011-04,0.049,
2011-07,0.048,
2011-10,0.053,
2012-01,0.051,
2012-04,0.049,
2012-07,0.039,
2012-10,0.033,
2013-01,0.036,
2013-04,0.041,
2013-07,0.038,
2013-10,0.039,
2014-01,0.045,
2014-04,0.046,
2014-07,0.042,
