"",BBK01.OECB10R,BBK01.OECB10R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:37,
2002-01,0.416,
2002-04,0.352,
2002-07,0.370,
2002-10,0.405,
2003-01,0.348,
2003-04,0.260,
2003-07,0.247,
2003-10,0.232,
2004-01,0.234,
2004-04,0.229,
2004-07,0.210,
2004-10,0.280,
2005-01,0.277,
2005-04,0.266,
2005-07,0.261,
2005-10,0.240,
2006-01,0.238,
2006-04,0.240,
2006-07,0.211,
2006-10,0.208,
2007-01,0.193,
2007-04,0.207,
2007-07,0.187,
2007-10,0.203,
2008-01,0.173,
2008-04,0.162,
2008-07,0.166,
2008-10,0.160,
2009-01,0.168,
2009-04,0.153,
2009-07,0.158,
2009-10,0.149,
2010-01,0.160,
2010-04,0.160,
2010-07,0.161,
2010-10,0.158,
2011-01,0.193,
2011-04,0.192,
2011-07,0.181,
2011-10,0.176,
2012-01,0.198,
2012-04,0.202,
2012-07,0.195,
2012-10,0.197,
2013-01,0.207,
2013-04,0.190,
2013-07,0.172,
2013-10,0.160,
2014-01,0.182,
2014-04,0.183,
2014-07,0.161,
