"",BBK01.OEAD36I,BBK01.OEAD36I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:13,
2002-01,0.245,
2002-04,0.225,
2002-07,0.197,
2002-10,0.182,
2003-01,0.145,
2003-04,0.180,
2003-07,0.175,
2003-10,0.173,
2004-01,0.162,
2004-04,0.163,
2004-07,0.170,
2004-10,0.155,
2005-01,0.155,
2005-04,0.161,
2005-07,0.145,
2005-10,0.139,
2006-01,0.129,
2006-04,0.158,
2006-07,0.166,
2006-10,0.157,
2007-01,0.161,
2007-04,0.158,
2007-07,0.160,
2007-10,0.154,
2008-01,0.152,
2008-04,0.247,
2008-07,0.225,
2008-10,0.283,
2009-01,0.270,
2009-04,0.242,
2009-07,0.240,
2009-10,0.159,
2010-01,0.169,
2010-04,0.179,
2010-07,0.189,
2010-10,0.169,
2011-01,0.227,
2011-04,0.213,
2011-07,0.210,
2011-10,0.137,
2012-01,0.141,
2012-04,0.135,
2012-07,0.123,
2012-10,0.113,
2013-01,0.112,
2013-04,0.104,
2013-07,0.075,
2013-10,0.074,
2014-01,0.072,
2014-04,0.070,
2014-07,0.061,
