"",BBK01.OEAH51L,BBK01.OEAH51L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:22,
2002-01,0.074,
2002-04,0.075,
2002-07,0.072,
2002-10,0.064,
2003-01,0.062,
2003-04,0.056,
2003-07,0.049,
2003-10,0.051,
2004-01,0.043,
2004-04,0.035,
2004-07,0.033,
2004-10,0.032,
2005-01,0.032,
2005-04,0.034,
2005-07,0.035,
2005-10,0.040,
2006-01,0.063,
2006-04,0.083,
2006-07,0.119,
2006-10,0.153,
2007-01,0.213,
2007-04,0.275,
2007-07,0.321,
2007-10,0.403,
2008-01,0.444,
2008-04,0.488,
2008-07,0.521,
2008-10,0.577,
2009-01,0.499,
2009-04,0.395,
2009-07,0.306,
2009-10,0.213,
2010-01,0.161,
2010-04,0.153,
2010-07,0.140,
2010-10,0.149,
2011-01,0.159,
2011-04,0.168,
2011-07,0.166,
2011-10,0.186,
2012-01,0.178,
2012-04,0.161,
2012-07,0.124,
2012-10,0.110,
2013-01,0.084,
2013-04,0.071,
2013-07,0.067,
2013-10,0.064,
2014-01,0.067,
2014-04,0.068,
2014-07,0.073,
