"",BBK01.OEXB11L,BBK01.OEXB11L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:38,
2002-01,2.409,
2002-04,2.578,
2002-07,2.675,
2002-10,2.805,
2003-01,3.023,
2003-04,3.046,
2003-07,3.354,
2003-10,3.826,
2004-01,3.996,
2004-04,4.170,
2004-07,4.280,
2004-10,3.718,
2005-01,3.638,
2005-04,3.564,
2005-07,4.696,
2005-10,4.846,
2006-01,4.730,
2006-04,5.132,
2006-07,6.003,
2006-10,5.357,
2007-01,6.223,
2007-04,7.333,
2007-07,7.442,
2007-10,8.205,
2008-01,9.525,
2008-04,8.928,
2008-07,10.777,
2008-10,11.168,
2009-01,12.452,
2009-04,11.558,
2009-07,11.257,
2009-10,12.232,
2010-01,11.060,
2010-04,11.376,
2010-07,11.496,
2010-10,11.609,
2011-01,11.545,
2011-04,10.511,
2011-07,10.596,
2011-10,10.504,
2012-01,10.880,
2012-04,11.031,
2012-07,10.634,
2012-10,9.991,
2013-01,9.598,
2013-04,9.155,
2013-07,8.690,
2013-10,8.594,
2014-01,8.602,
2014-04,8.490,
2014-07,8.803,
