"",BBFI1.Q.N.DE.W1.S12M.S1.LE.L.FA.O.F89.S._T._X.N,BBFI1.Q.N.DE.W1.S12M.S1.LE.L.FA.O.F89.S._T._X.N_FLAGS
"",IIP - Other Investment - Other accounts receivable/payable - Financial corporations other than MFIs - Short-term original maturity (up to 1 year incl. incl.) - Liabilities - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:47,
2012-10,-,Nothing exists
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
