"",BBSF2.M.1.T.00000.DSO01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DSO01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Other funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:01,
2009-09,8809,
2009-10,9258,
2009-11,10549,
2009-12,10992,
2010-01,11097,
2010-02,11598,
2010-03,12085,
2010-04,12093,
2010-05,11971,
2010-06,11927,
2010-07,12122,
2010-08,12214,
2010-09,12245,
2010-10,12494,
2010-11,12691,
2010-12,12754,
2011-01,12691,
2011-02,12813,
2011-03,12710,
2011-04,12910,
2011-05,12653,
2011-06,12510,
2011-07,13417,
2011-08,12646,
2011-09,12342,
2011-10,12466,
2011-11,12210,
2011-12,12368,
2012-01,12664,
2012-02,12922,
2012-03,12867,
2012-04,13060,
2012-05,12751,
2012-06,12832,
2012-07,13162,
2012-08,13123,
2012-09,13170,
2012-10,13107,
2012-11,13132,
2012-12,13137,
2013-01,13085,
2013-02,13246,
2013-03,13383,
2013-04,13453,
2013-05,13405,
2013-06,12732,
2013-07,12912,
2013-08,12757,
2013-09,13673,
2013-10,14028,
2013-11,14162,
2013-12,14055,
2014-01,14271,
2014-02,14065,
2014-03,14158,
2014-04,19593,
2014-05,19936,
2014-06,19997,
2014-07,20114,
2014-08,20228,
2014-09,20466,
2014-10,20462,
2014-11,21377,
