"",BBK01.OEBB11L,BBK01.OEBB11L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:19,
2002-01,4.242,
2002-04,4.482,
2002-07,4.585,
2002-10,4.036,
2003-01,4.182,
2003-04,4.005,
2003-07,4.164,
2003-10,4.532,
2004-01,4.702,
2004-04,4.965,
2004-07,5.141,
2004-10,4.440,
2005-01,4.895,
2005-04,4.990,
2005-07,6.204,
2005-10,7.027,
2006-01,7.095,
2006-04,7.737,
2006-07,8.566,
2006-10,8.098,
2007-01,12.537,
2007-04,13.743,
2007-07,13.781,
2007-10,14.802,
2008-01,16.160,
2008-04,15.548,
2008-07,17.225,
2008-10,17.379,
2009-01,18.041,
2009-04,18.100,
2009-07,17.312,
2009-10,18.393,
2010-01,14.996,
2010-04,15.311,
2010-07,15.275,
2010-10,15.470,
2011-01,15.469,
2011-04,14.239,
2011-07,14.227,
2011-10,13.644,
2012-01,14.073,
2012-04,14.159,
2012-07,13.601,
2012-10,12.907,
2013-01,12.484,
2013-04,11.823,
2013-07,11.406,
2013-10,11.073,
2014-01,10.936,
2014-04,10.788,
2014-07,11.020,
