"",BBK01.OEAO03K,BBK01.OEAO03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:30,
2002-01,2.243,
2002-04,2.400,
2002-07,1.660,
2002-10,1.635,
2003-01,1.698,
2003-04,1.657,
2003-07,1.500,
2003-10,1.642,
2004-01,1.871,
2004-04,1.450,
2004-07,1.542,
2004-10,1.768,
2005-01,1.996,
2005-04,1.719,
2005-07,1.834,
2005-10,1.859,
2006-01,2.235,
2006-04,1.861,
2006-07,1.910,
2006-10,2.093,
2007-01,2.702,
2007-04,2.174,
2007-07,2.081,
2007-10,2.036,
2008-01,2.163,
2008-04,2.096,
2008-07,2.314,
2008-10,2.648,
2009-01,2.550,
2009-04,2.111,
2009-07,2.195,
2009-10,2.373,
2010-01,2.131,
2010-04,1.658,
2010-07,1.481,
2010-10,1.525,
2011-01,1.846,
2011-04,1.883,
2011-07,1.667,
2011-10,1.599,
2012-01,1.687,
2012-04,1.484,
2012-07,1.461,
2012-10,1.529,
2013-01,1.993,
2013-04,1.536,
2013-07,1.324,
2013-10,1.383,
2014-01,1.266,
2014-04,1.464,
2014-07,1.185,
