"",BBK01.OEBM02J,BBK01.OEBM02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:23,
2002-01,0.040,
2002-04,0.023,
2002-07,0.027,
2002-10,0.041,
2003-01,0.026,
2003-04,0.021,
2003-07,0.016,
2003-10,0.020,
2004-01,0.020,
2004-04,0.036,
2004-07,0.032,
2004-10,0.065,
2005-01,0.051,
2005-04,0.061,
2005-07,0.073,
2005-10,0.050,
2006-01,0.101,
2006-04,0.106,
2006-07,0.106,
2006-10,0.091,
2007-01,0.086,
2007-04,0.089,
2007-07,0.093,
2007-10,0.096,
2008-01,0.099,
2008-04,0.097,
2008-07,0.104,
2008-10,0.120,
2009-01,0.101,
2009-04,0.114,
2009-07,0.096,
2009-10,0.088,
2010-01,0.091,
2010-04,0.093,
2010-07,0.100,
2010-10,0.094,
2011-01,0.111,
2011-04,0.116,
2011-07,0.091,
2011-10,0.084,
2012-01,0.121,
2012-04,0.123,
2012-07,0.105,
2012-10,0.106,
2013-01,0.016,
2013-04,0.001,
2013-07,0.030,
2013-10,0.029,
2014-01,0.035,
2014-04,0.033,
2014-07,0.028,
