"",BBEX3.A.XCD.USD.CA.AB.A04,BBEX3.A.XCD.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in the Eastern Caribbean Currency Union * / USD 1 = XCD ... (selling),
unit,XCD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:17:29,
1984,2.7169,
1985,2.7169,
1986,2.7169,
1987,2.7169,
1988,2.7169,
1989,2.7169,
1990,2.7169,
1991,2.7169,
1992,2.7169,
1993,2.7169,
1994,2.7169,
1995,2.7169,
1996,2.7169,
1997,2.7169,
1998,2.7169,
1999,2.7169,
2000,2.7169,
2001,2.7169,
2002,2.7169,
2003,2.7169,
2004,2.7169,
2005,2.7169,
2006,2.7169,
2007,2.7169,
2008,2.7169,
2009,2.7169,
2010,2.7169,
2011,2.7169,
2012,2.7169,
2013,2.7169,
2014,2.7169,
"","General: * The Eastern Caribbean Currency Union consists of the independent states of Antigua and Barbuda, Dominica, Grenada, St Kitts and Nevis, St Lucia, St Vincent and the Grenadines, as well as the British Overseas Territories of Anguilla and Montserrat. Pegged to the US dollar.",
"",Source: Eastern Caribbean Central Bank.,
