"",BBFB1.Q.N.DE.IE.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.IE.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:44,
1991-01,331.013,
1991-04,224.941,
1991-07,72.226,
1991-10,-19.686,
1992-01,298.623,
1992-04,-98.771,
1992-07,-336.793,
1992-10,-180.400,
1993-01,-45.814,
1993-04,352.459,
1993-07,227.412,
1993-10,126.771,
1994-01,385.337,
1994-04,45.126,
1994-07,91.897,
1994-10,483.582,
1995-01,273.181,
1995-04,-39.307,
1995-07,566.073,
1995-10,565.346,
1996-01,585.925,
1996-04,460.432,
1996-07,257.654,
1996-10,-300.454,
1997-01,400.807,
1997-04,908.601,
1997-07,-457.810,
1997-10,160.210,
1998-01,445.722,
1998-04,-46.127,
1998-07,82.416,
1998-10,356.893,
1999-01,1251.980,
1999-04,-620.555,
1999-07,-681.446,
1999-10,847.077,
2000-01,10692.946,
2000-04,425.926,
2000-07,761.313,
2000-10,-687.468,
2001-01,2487.373,
2001-04,948.638,
2001-07,1175.303,
2001-10,1981.032,
2002-01,185.464,
2002-04,-13.045,
2002-07,-497.341,
2002-10,193.094,
2003-01,-420.641,
2003-04,421.778,
2003-07,-307.089,
2003-10,1194.400,
2004-01,973.313,
2004-04,2100.878,
2004-07,198.263,
2004-10,759.323,
2005-01,343.923,
2005-04,3466.392,
2005-07,188.096,
2005-10,-956.901,
2006-01,367.465,
2006-04,76.758,
2006-07,4073.185,
2006-10,2187.905,
2007-01,337.857,
2007-04,-806.570,
2007-07,-356.286,
2007-10,1470.036,
2008-01,-1135.686,
2008-04,3318.705,
2008-07,312.268,
2008-10,-293.629,
2009-01,-1190.507,
2009-04,235.926,
2009-07,74.990,
2009-10,-67.024,
2010-01,1908.201,
2010-04,846.969,
2010-07,350.818,
2010-10,1261.078,
2011-01,1511.281,
2011-04,-966.130,
2011-07,754.727,
2011-10,3102.097,
2012-01,3564.697,
2012-04,491.968,
2012-07,1046.569,
2012-10,1822.127,
2013-01,332.027,
2013-04,649.043,
2013-07,-668.355,
2013-10,340.736,
2014-01,2586.119,Provisional value
2014-04,937.333,Provisional value
2014-07,898.466,Provisional value
2014-10,365.065,Provisional value
