"",BBK01.OEYB03M,BBK01.OEYB03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:16,
2002-01,9.223,
2002-04,9.093,
2002-07,9.156,
2002-10,9.084,
2003-01,9.146,
2003-04,10.094,
2003-07,10.535,
2003-10,10.548,
2004-01,10.729,
2004-04,10.568,
2004-07,10.066,
2004-10,9.531,
2005-01,9.569,
2005-04,9.968,
2005-07,9.920,
2005-10,9.398,
2006-01,9.388,
2006-04,9.858,
2006-07,9.575,
2006-10,10.037,
2007-01,10.326,
2007-04,10.380,
2007-07,11.250,
2007-10,12.394,
2008-01,12.239,
2008-04,13.508,
2008-07,14.490,
2008-10,13.947,
2009-01,14.010,
2009-04,14.063,
2009-07,14.649,
2009-10,15.030,
2010-01,15.230,
2010-04,15.347,
2010-07,15.075,
2010-10,14.937,
2011-01,14.055,
2011-04,13.427,
2011-07,13.878,
2011-10,14.373,
2012-01,14.390,
2012-04,14.617,
2012-07,14.469,
2012-10,14.451,
2013-01,13.896,
2013-04,14.020,
2013-07,13.602,
2013-10,13.250,
2014-01,13.172,
2014-04,12.747,
2014-07,12.667,
